APPT_ENTITY_ABBR	APPT_ENTITY_CHAIR_FACULTY_ID	APPT_ENTITY_ID	APPT_ENTITY_NAME	APPT_ENTITY_SCHOOL	FP_DEPT_CHAIR_DISPLAY_FLAG	FP_DEPT_CHAIR_DISPLAY_NAME
Medical Social Sciences	600776	323000	Medical Social Sciences	FSM	Y	Medical Social Sciences
IPR		612000	Institute for Policy Research	IPR		
Asher Center	608025	411000	Asher Center for the Study and Treatment of Depressive Orders	FSM		Asher Center for the Study and Treatment of Depressive Orders
Inst. Women's Health Rsch	605984	421000	Institute for Women's Health Research	FSM		
NUCATS	602019	420000	Northwestern University Clinical and Translational Sciences Institute (NUCATS)	FSM		Northwestern University Clinical and Translational Sciences Institute (NUCATS)
Radiation Oncology	603765	319500	Radiation Oncology	FSM	Y	Radiation Oncology
OME & Faculty Dev.	601079	502000	Medical Education and Faculty Development	FSM		Medical Education and Faculty Development
Med Humanities Bioethics	600786	503000	Medical Humanities and Bioethics	FSM		Medical Humanities and Bioethics
Dental School		601000	Dental School	Dental		
Kellogg		602000	Kellogg School of Management	Kellogg		
Law School		603000	School of Law	Law		
Medill		604000	Medill School of Journalism	Medill		
MEAS		605000	McCormick School of Engineering	MEAS		
SESP		606000	School of Education and Social Policy	SESP		
Communication		607000	School of Communication	Communication		
WCAS		608000	Weinberg College of Arts and Sciences	WCAS		
SCS		609000	School of Continuing Studies	SCS		
Provost's Office		610000	Provost's Office	Provost's Office		
Anesthesiology	605314	301000	Anesthesiology	FSM	Y	Anesthesiology
Buehler COA	601424	406000	Buehler Center on Aging	FSM		Buehler Center on Aging
CM Biology	601894	101000	Cell and Molecular Biology	FSM	Y	Cell and Molecular Biology
Ctr for Genetic Medicine	602909	402000	Center for Genetic Medicine	FSM		Center for Genetic Medicine
Dermatology	604139	302000	Dermatology	FSM	Y	Dermatology
Family Medicine		304000	Family and Community Medicine	FSM	Y	Family and Community Medicine
Feinberg Cardio Rsch	607417	305000	Feinberg Cardiovascular Research Institute	FSM		Feinberg Cardiovascular Research Institute
CHS-IPHAM		404000	Center for Healthcare Studies - Institute for Public Health and Medicine	FSM		Center for Healthcare Studies - Institute for Public Health and Medicine
Medicine	608119	307000	Medicine	FSM	Y	Medicine
Micro-Immunology	603022	102000	Microbiology-Immunology	FSM	Y	Microbiology-Immunology
Ob/Gyn	606312	310000	Obstetrics and Gynecology	FSM	Y	Obstetrics and Gynecology
NUIN	603849	409000	Northwestern University Institute of Neuroscience (NUIN)	FSM		
IBNAM	605354	410000	Institute for Bioengineering and Nanoscience in Advanced Medicine (IBNAM)	FSM		
MPBC	605063	103000	Molecular Pharmacology and Biological Chemistry	FSM	Y	Molecular Pharmacology and Biological Chemistry
CNADC	603665	403000	Cognitive Neurology and Alzheimer's Disease Center	FSM		Cognitive Neurology and Alzheimer's Disease Center
Orthopaedic Surgery	604831	313000	Orthopaedic Surgery	FSM	Y	Orthopaedic Surgery
Neurology	602761	308000	Ken and Ruth Davee Department of Neurology	FSM	Y	Neurology
Physical Therapy	601227	317000	Physical Therapy and Human Movement Sciences	FSM	Y	Physical Therapy and Human Movement Sciences
Psychiatry	608025	318000	Psychiatry and Behavioral Sciences	FSM	Y	Psychiatry and Behavioral Sciences
Lurie Cancer Center	604638	401000	Robert H. Lurie Comprehensive Cancer Center	FSM		Robert H. Lurie Comprehensive Cancer Center
Neurological Surgery	604092	309000	Neurological Surgery	FSM	Y	Neurological Surgery
Ophthalmology	609032	312000	Ophthalmology	FSM	Y	Ophthalmology
Otolaryngology	602752	314000	Otolaryngology - Head and Neck Surgery	FSM	Y	Otolaryngology - Head and Neck Surgery
Pathology	607695	201000	Pathology	FSM	Y	Pathology
Pediatrics	602011	316000	Pediatrics	FSM	Y	Pediatrics
P M & R	604676	315000	Physical Medicine and Rehabilitation	FSM	Y	Physical Medicine and Rehabilitation
Physiology	605395	104000	Physiology	FSM	Y	Physiology
Preventive Medicine	606511	202000	Preventive Medicine	FSM	Y	Preventive Medicine
Radiology	604722	319000	Radiology	FSM	Y	Radiology
Surgery	606501	320000	Surgery	FSM	Y	Surgery
Urology	604830	321000	Urology	FSM	Y	Urology
Administration	601079	504000	Administration	FSM		Administration
Emergency Medicine	600016	303000	Emergency Medicine	FSM	Y	Emergency Medicine
Center for Bioethics	606128	419000	Center for Bioethics, Science and Society	FSM		Center for Bioethics, Science and Society
NCCO	603037	422000	Northwestern University Comprehensive Center on Obesity	FSM		Northwestern University Comprehensive Center on Obesity
Comprehensive Transplant	600001	423000	Comprehensive Transplant Center	FSM		Comprehensive Transplant Center
Center for Global Health	603878	424000	Center for Global Health	FSM		Center for Global Health
Center for AIDS Research	605968	412000	Center for AIDS Research	FSM		Center for AIDS Research
Immunobiology Center	603739	408000	Interdepartmental Immunobiology Center	FMS		
CMRC	606523	413000	Children's Memorial Research Center (CMRC)	FSM		
ADMIN_FLAG	APPOINT_FLAG	CENTER_FLAG	DEPT_ID	DEPT_SEARCH_NAME	DEPT_WEB_ID	DIVISION_ID	DV_ABBR	DV_CAMPUS_ID	DV_LOCATION_ID	DV_NAME	DV_PHONE	DV_ROOM_NUMBER	DV_TYPE	DV_URL	LABEL_NAME	PICTURE_DIR	SAU_ID	SEARCH_NAME	WEB_ID
0	0	0	501000			501240	FSM-Med. Rsch. Support	1		FSM-Research Support					FSM-Med. Rsch. Support			FSM-Research Support	62617
0	1	0	103000		10140	103010	MPBC	1	116	Molecular Pharmacology and Biological Chemistry	312/503-0800	8-296	Basic	http://www.pharm.northwestern.edu/	MPBC	mpbc	399300	Molecular pharmacology and biological chemistry	62618
0	0	0	307000		10150	307070	Med-Emergency Medicine	1	124	Medicine-Emergency Medicine	312/926-9519	100	Clinical		Medicine:Emergency Medicine		407800	Medicine-Emergency Medicine	62619
0	1	0	307000	Pulmonary	10150	307170	Med-Pulmonary	1	137	Medicine-Pulmonary	312/908-8163	M-300	Clinical	http://www.medicine.northwestern.edu/divisions/pulmonary-and-critical-care	Medicine:Pulmonary	med-pul	409400	Pulmonary	62620
0	1	1	403000			403010	CNADC	1	114	Cognitive Neurology and Alzheimer's Disease Center	312/908-9946	11-467	Clinical	http://www.brain.northwestern.edu/	CNADC	cnadc		Alzheimer's disease center	62621
0	0	0	501000			501080	FSM-Development	1	100	FSM-Development	312/503-8933	4th Floor			FSM-Development			FSM-Development	62622
0	0	0	501000			501100	FSM-EAD for Education	1	116	FSM-Executive Associate Dean for Education	312/503-9443	4-151			FSM-EAD for Education			FSM-Executive Associate Dean for Education	62623
0	0	0	501000			501160	FSM-GME	1	128	FSM-Graduate Medical Education	312/503-4536	1058A		http://www.feinberg.northwestern.edu/gme/index.htm	FSM-GME			FSM-Graduate Medical Education	62624
0	0	0	501000			501280	FSM-Student Affairs	1	108	FSM-Student Affairs	312/503-4070	1-673			FSM-Student Affairs			FSM-Student Affairs	62625
0	0	0	307000	Atherosclerosis	10150	307040	Med-Atherosclerosis	1	111	Medicine-Atherosclerosis	312/238-4701	1407	Clinical		Medicine:Atherosclerosis		407200	Atherosclerosis	62626
0	1	0	307000	Immunotherapy for autoimmune diseases	10150	307140	Med-Immunotherapy	1	101	Medicine-Immunotherapy for Autoimmune Diseases	312/503-4190	649	Clinical	http://www.medicine.northwestern.edu/divisions-0	Medicine:Immunotherapy	med-immuno		Immunotherapy for autoimmune diseases	62627
0	1	0	310000	Reproductive Endocrinology and Infertility	10110	310090	Ob/Gyn-Reprod Endo	1	129	Obstetrics and Gynecology-Reproductive Endo & Infertility	312/926-8244	1875	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Reproductive Endocrinology	obgyn-reprodend		Obstetrics and gynecology-Reproductive Endocrinology and Infertility	62628
0	1	0	313000		10250	313010	Orthopaedic Surgery	1	129	Orthopaedic Surgery	312/926-4444	13th floor	Clinical	http://www.orthopaedics.northwestern.edu/	Orthopaedic Surgery	ortho-surg	428400	Orthopaedic surgery	62629
0	1	0	320000	Plastic surgery	10100	320060	Surg-Plastic Surgery	1	104	Surgery-Plastic	312/695-6022	19-250	Clinical	http://www.surgery.northwestern.edu/dos-divprog/plastic/index.html	Surgery:Plastic Surgery	surg-plastic		Plastic surgery	62630
0	0	0	501000			501110	FSM-EAD for Fac Affairs	1	116	FSM-Executive Associate Dean for Faculty Affairs	312/503-0336	4-159			FSM-EAD for Fac Affairs			FSM-Executive Associate Dean for Faculty Affairs	62631
0	0	0	501000			501260	FSM-Strategic Planning &	1	108	FSM-Strategic Planning and Management	312/503-0584	4-647			FSM-Strategic Planning &			FSM-Strategic Planning and Management	62632
0	0	0	307000		10150	307000	Med Rollup	1		Medicine-Rollup				http://www.medicine.northwestern.edu/	Med-Rollup			Medicine-Rollup	62633
0	1	0	307000	Allergy-Immunology	10150	307020	Med-Allergy-Immunology	1	137	Medicine-Allergy-Immunology	312/503-4000	M-316	Clinical	http://www.medicine.northwestern.edu/divisions/allergy-immunology-0	Medicine:Allergy-Immunology	med-allergy	406800	Allergy-Immunology	62634
0	1	0	307000	Cardiology	10150	307050	Med-Cardiology	1	129	Medicine-Cardiology	312/695-4965	600	Clinical	http://www.medicine.northwestern.edu/divisions/cardiology/	Medicine:Cardiology	med-cardio	407400	Cardiology	62635
0	1	0	307000	Endocrinology	10150	307080	Med-Endocrinology	1	113	Medicine-Endocrinology	312/503-0006	15-703	Clinical	http://www.medicine.northwestern.edu/divisions/endocrinology/	Medicine:Endocrinology	med-endo	408000	Endocrinology	62636
0	1	0	307000	General internal medicine & geriatrics	10150	307110	Med-Gen Int / Geriatrics	1	101	Medicine-General Internal Medicine and Geriatrics	312/503-6400	10th Floor	Clinical	http://www.medicine.northwestern.edu/divisions/general-internal-medicine	Medicine:Gen Internal Med & Geriatrics	med-gim	408400	General internal medicine & geriatrics	62637
0	1	0	307000	Hematology/oncology	10150	307130	Med-Hematology / Oncology	1	138	Medicine-Hematology/Oncology	312/695-6180	5-121	Clinical	http://www.medicine.northwestern.edu/divisions/hematology-oncology	Medicine:Hematology / Oncology	med-hemonc	408800	Hematology/oncology	62638
0	1	0	307000	Infectious diseases	10150	307150	Med-Infectious Disease	1	128	Medicine-Infectious Diseases	312/695-5085	900	Clinical	http://www.medicine.northwestern.edu/divisions/infectious_diseases/	Medicine:Infectious Disease	med-infdis	409000	Infectious diseases	62639
0	1	0	308000		10190	308010	Neurology	1	100	Ken and Ruth Davee Department of Neurology	312/908-5035	1123	Clinical	http://www.neurology.northwestern.edu/	Neurology	neuro	420400	Neurology	62640
