DEPT_ID	DIVISION_ID	DV_ABBR	EMPLOYEE_ID
413000	413010	CMRC	1001753
402000	402010	Ctr for Genetic Medicine	1002417
305000	305010	Feinberg Cardio Rsch	1013321
409000	409010	NUIN	1012755
404000	404010	IHS	1012755
424000	424010	Center for Global Health	
403000	403010	CNADC	1018864
409000	409010	NUIN	1018864
401000	401010	Lurie Cancer Center	1003390
404000	404010	IHS	1003390
401000	401010	Lurie Cancer Center	1001725
406000	406010	Buehler COA	1041506
403000	403010	CNADC	1020738
401000	401010	Lurie Cancer Center	1020947
424000	424010	Center for Global Health	
409000	409010	NUIN	1049781
403000	403010	CNADC	1049781
403000	403010	CNADC	1018729
409000	409010	NUIN	1018729
422000	422010	NCCO	1018012
420000	420010	NUCATS	1018012
413000	413010	CMRC	1018012
305000	305010	Feinberg Cardio Rsch	1036507
413000	413010	CMRC	1036507
413000	413010	CMRC	1002960
424000	424010	Center for Global Health	
423000	423010	Comprehensive Transplant	1021673
408000	408010	Immunobiology Center	1021673
401000	401010	Lurie Cancer Center	1049549
413000	413010	CMRC	1004492
413000	413010	CMRC	1029134
305000	305010	Feinberg Cardio Rsch	1007018
401000	401010	Lurie Cancer Center	1021319
409000	409010	NUIN	1021319
402000	402010	Ctr for Genetic Medicine	1021319
305000	305010	Feinberg Cardio Rsch	1018091
305000	305010	Feinberg Cardio Rsch	1021759
401000	401010	Lurie Cancer Center	1028424
305000	305010	Feinberg Cardio Rsch	1018822
408000	408010	Immunobiology Center	1046905
402000	402010	Ctr for Genetic Medicine	1046905
402000	402010	Ctr for Genetic Medicine	1041733
413000	413010	CMRC	1041733
401000	401010	Lurie Cancer Center	1044550
409000	409010	NUIN	1044550
403000	403010	CNADC	1044550
413000	413010	CMRC	1011262
424000	424010	Center for Global Health	
401000	401010	Lurie Cancer Center	1053308
413000	413010	CMRC	1008334
406000	406010	Buehler COA	1036853
409000	409010	NUIN	1005227
402000	402010	Ctr for Genetic Medicine	1012598
401000	401010	Lurie Cancer Center	1012598
408000	408010	Immunobiology Center	1012598
402000	402010	Ctr for Genetic Medicine	1018947
408000	408010	Immunobiology Center	1021762
409000	409010	NUIN	1021762
402000	402010	Ctr for Genetic Medicine	1021762
401000	401010	Lurie Cancer Center	1027454
420000	420010	NUCATS	1027454
401000	401010	Lurie Cancer Center	1002252
401000	401010	Lurie Cancer Center	1001431
413000	413010	CMRC	1001431
402000	402010	Ctr for Genetic Medicine	1001431
401000	401010	Lurie Cancer Center	1001981
424000	424010	Center for Global Health	
401000	401010	Lurie Cancer Center	1052813
409000	409010	NUIN	1052813
402000	402010	Ctr for Genetic Medicine	1052813
427000	427010	Brain Tumor Institute	1052813
409000	409010	NUIN	1052190
401000	401010	Lurie Cancer Center	1030012
417000	417010	Prosthetic-Orthotic Ctr	1021799
401000	401010	Lurie Cancer Center	1018009
409000	409010	NUIN	1018009
408000	408010	Immunobiology Center	1018009
305000	305010	Feinberg Cardio Rsch	1018009
402000	402010	Ctr for Genetic Medicine	1018009
413000	413010	CMRC	1015205
408000	408010	Immunobiology Center	1001653
402000	402010	Ctr for Genetic Medicine	1001653
424000	424010	Center for Global Health	
408000	408010	Immunobiology Center	1041070
402000	402010	Ctr for Genetic Medicine	1027443
401000	401010	Lurie Cancer Center	1027443
409000	409010	NUIN	1027443
403000	403010	CNADC	1027443
413000	413010	CMRC	1027443
420000	420010	NUCATS	1037252
402000	402010	Ctr for Genetic Medicine	1038702
413000	413010	CMRC	1025724
402000	402010	Ctr for Genetic Medicine	1025724
413000	413010	CMRC	1037282
409000	409010	NUIN	1042064
409000	409010	NUIN	1031152
401000	401010	Lurie Cancer Center	1016930
408000	408010	Immunobiology Center	1016930
402000	402010	Ctr for Genetic Medicine	1016930
402000	402010	Ctr for Genetic Medicine	1001887
417000	417010	Prosthetic-Orthotic Ctr	1001887
404000	404010	IHS	1001887
413000	413010	CMRC	1001887
305000	305010	Feinberg Cardio Rsch	1000906
305000	305010	Feinberg Cardio Rsch	1010557
424000	424010	Center for Global Health	
305000	305010	Feinberg Cardio Rsch	1041463
413000	413010	CMRC	1041463
413000	413010	CMRC	1040000
409000	409010	NUIN	1049467
409000	409010	NUIN	1023778
413000	413010	CMRC	1018588
413000	413010	CMRC	1037549
402000	402010	Ctr for Genetic Medicine	1014376
413000	413010	CMRC	1014376
413000	413010	CMRC	1050308
413000	413010	CMRC	1024471
307000	307060	Med-Health Care Studies	1053182
401000	401010	Lurie Cancer Center	1036974
413000	413010	CMRC	1012240
402000	402010	Ctr for Genetic Medicine	1012240
305000	305010	Feinberg Cardio Rsch	1023190
409000	409010	NUIN	1043672
417000	417010	Prosthetic-Orthotic Ctr	1013835
401000	401010	Lurie Cancer Center	1047214
401000	401010	Lurie Cancer Center	1050035
501000	501220	Prgm in Communication	1050035
417000	417010	Prosthetic-Orthotic Ctr	1021715
408000	408010	Immunobiology Center	1016759
423000	423010	Comprehensive Transplant	1001785
413000	413010	CMRC	1001785
413000	413010	CMRC	1010291
417000	417010	Prosthetic-Orthotic Ctr	1020239
501000	501220	Prgm in Communication	1019792
409000	409010	NUIN	1002042
408000	408010	Immunobiology Center	1002042
409000	409010	NUIN	1008367
409000	409010	NUIN	1009168
402000	402010	Ctr for Genetic Medicine	1000554
412000	412010	Center for AIDS Research	1050501
413000	413010	CMRC	1015102
401000	401010	Lurie Cancer Center	1041920
427000	427010	Brain Tumor Institute	1026925
404000	404010	IHS	1003800
420000	420010	NUCATS	1003800
416000	416010	Arthritis Center	1003800
403000	403010	CNADC	1019577
401000	401010	Lurie Cancer Center	1012450
402000	402010	Ctr for Genetic Medicine	1012450
409000	409010	NUIN	1000359
401000	401010	Lurie Cancer Center	1000359
305000	305010	Feinberg Cardio Rsch	1036796
401000	401010	Lurie Cancer Center	1027428
406000	406010	Buehler COA	1027428
401000	401010	Lurie Cancer Center	1021653
420000	420010	NUCATS	1021653
408000	408010	Immunobiology Center	1021653
305000	305010	Feinberg Cardio Rsch	1021653
402000	402010	Ctr for Genetic Medicine	1021653
305000	305010	Feinberg Cardio Rsch	1037814
413000	413010	CMRC	1052335
305000	305010	Feinberg Cardio Rsch	1019834
402000	402010	Ctr for Genetic Medicine	1039566
409000	409010	NUIN	1022610
413000	413010	CMRC	1026388
409000	409010	NUIN	1017256
401000	401010	Lurie Cancer Center	1003094
406000	406010	Buehler COA	1026870
408000	408010	Immunobiology Center	1036119
402000	402010	Ctr for Genetic Medicine	1036119
409000	409010	NUIN	1006865
401000	401010	Lurie Cancer Center	1023189
409000	409010	NUIN	1017627
402000	402010	Ctr for Genetic Medicine	1047987
413000	413010	CMRC	1020791
401000	401010	Lurie Cancer Center	1001531
409000	409010	NUIN	1001531
408000	408010	Immunobiology Center	1001531
305000	305010	Feinberg Cardio Rsch	1001531
401000	401010	Lurie Cancer Center	1029226
413000	413010	CMRC	1001679
401000	401010	Lurie Cancer Center	1012563
305000	305010	Feinberg Cardio Rsch	1010239
417000	417010	Prosthetic-Orthotic Ctr	1010207
408000	408010	Immunobiology Center	1005232
305000	305010	Feinberg Cardio Rsch	1004010
401000	401010	Lurie Cancer Center	1024251
408000	408010	Immunobiology Center	1024251
402000	402010	Ctr for Genetic Medicine	1024251
413000	413010	CMRC	1013771
408000	408010	Immunobiology Center	1006773
401000	401010	Lurie Cancer Center	1006058
420000	420010	NUCATS	1006058
305000	305010	Feinberg Cardio Rsch	1006058
402000	402010	Ctr for Genetic Medicine	1006058
422000	422010	NCCO	1030810
401000	401010	Lurie Cancer Center	1005849
408000	408010	Immunobiology Center	1005849
402000	402010	Ctr for Genetic Medicine	1005849
422000	422010	NCCO	1001554
413000	413010	CMRC	1041556
401000	401010	Lurie Cancer Center	1015536
402000	402010	Ctr for Genetic Medicine	1015536
420000	420010	NUCATS	1004883
425000	425010	Reproductive Science	1004883
401000	401010	Lurie Cancer Center	1004883
409000	409010	NUIN	1004883
402000	402010	Ctr for Genetic Medicine	1004883
403000	403010	CNADC	1018403
409000	409010	NUIN	1018403
413000	413010	CMRC	1023908
401000	401010	Lurie Cancer Center	1020213
413000	413010	CMRC	1020213
305000	305010	Feinberg Cardio Rsch	1002633
402000	402010	Ctr for Genetic Medicine	1011618
413000	413010	CMRC	1021803
401000	401010	Lurie Cancer Center	1015007
402000	402010	Ctr for Genetic Medicine	1015007
409000	409010	NUIN	1001632
417000	417010	Prosthetic-Orthotic Ctr	1042273
305000	305010	Feinberg Cardio Rsch	1008667
410000	410010	IBNAM	1036816
402000	402010	Ctr for Genetic Medicine	1051295
413000	413010	CMRC	1051295
403000	403010	CNADC	1000436
409000	409010	NUIN	1000436
413000	413010	CMRC	1000834
305000	305010	Feinberg Cardio Rsch	1017219
305000	305010	Feinberg Cardio Rsch	1006769
305000	305010	Feinberg Cardio Rsch	1001728
305000	305010	Feinberg Cardio Rsch	1013131
401000	401010	Lurie Cancer Center	1028426
402000	402010	Ctr for Genetic Medicine	1028426
305000	305010	Feinberg Cardio Rsch	1014064
401000	401010	Lurie Cancer Center	1012336
408000	408010	Immunobiology Center	1012336
401000	401010	Lurie Cancer Center	1002699
305000	305010	Feinberg Cardio Rsch	1002699
413000	413010	CMRC	1002699
413000	413010	CMRC	1002530
401000	401010	Lurie Cancer Center	1046825
409000	409010	NUIN	1046825
413000	413010	CMRC	1001575
417000	417010	Prosthetic-Orthotic Ctr	1030041
410000	410010	IBNAM	1030041
413000	413010	CMRC	1031217
413000	413010	CMRC	1005743
305000	305010	Feinberg Cardio Rsch	1004893
