DEPT_ID	DIVISION_ID	DV_ABBR	EMPLOYEE_ID
413000	413010	CHCRC	1001753
305000	305010	Feinberg Cardio Rsch	1013321
432000	432010	Ct Engineer and Health	1049458
404000	404010	CHS	1049458
409000	409010	NUIN	1012755
404000	404010	CHS	1012755
406000	406010	Buehler COA	1042840
424000	424010	Center for Global Health	1073620
403000	403010	CNADC	1018864
409000	409010	NUIN	1018864
404000	404010	CHS	1003390
406000	406010	Buehler COA	1041506
403000	403010	CNADC	1020738
424000	424010	Center for Global Health	1073621
409000	409010	NUIN	1049781
403000	403010	CNADC	1049781
403000	403010	CNADC	1018729
409000	409010	NUIN	1018729
431800	431810	Ctr for Community Health	1018012
404000	404010	CHS	1018012
422000	422010	NCCO	1018012
420000	420010	NUCATS	1018012
413000	413010	CHCRC	1018012
305000	305010	Feinberg Cardio Rsch	1036507
413000	413010	CHCRC	1036507
413000	413010	CHCRC	1002960
424000	424010	Center for Global Health	1073622
432000	432010	Ct Engineer and Health	1021673
431900	431910	Ct for Educ Public Health	1021673
431700	431710	Ct Patient-Cntred Outcome	1021673
431800	431810	Ctr for Community Health	1021673
406000	406010	Buehler COA	1021673
404000	404010	CHS	1043560
431300	431310	STIL	1050367
429000	429010	Academy of Educators	1050367
413000	413010	CHCRC	1050367
413000	413010	CHCRC	1004492
413000	413010	CHCRC	1029134
305000	305010	Feinberg Cardio Rsch	1007018
431000	431010	NSRC	1021319
431100	431110	CMIDD	1021319
305000	305010	Feinberg Cardio Rsch	1018091
305000	305010	Feinberg Cardio Rsch	1021759
431000	431010	NSRC	1028424
305000	305010	Feinberg Cardio Rsch	1018822
431100	431110	CMIDD	1046905
408000	408010	Immunobiology Center	1046905
413000	413010	CHCRC	1041733
409000	409010	NUIN	1044550
403000	403010	CNADC	1044550
413000	413010	CHCRC	1011262
424000	424010	Center for Global Health	1073623
431800	431810	Ctr for Community Health	1008334
420000	420010	NUCATS	1008334
413000	413010	CHCRC	1008334
406000	406010	Buehler COA	1036853
429000	429010	Academy of Educators	1005227
409000	409010	NUIN	1005227
408000	408010	Immunobiology Center	1012598
404000	404010	CHS	1012598
614000	614010	Hugh Knowles Center	1021762
409000	409010	NUIN	1021762
408000	408010	Immunobiology Center	1021762
420000	420010	NUCATS	1027454
413000	413010	CHCRC	1001431
425000	425010	Reproductive Science	1001981
424000	424010	Center for Global Health	1073618
409000	409010	NUIN	1052813
427000	427010	Brain Tumor Institute	1052813
409000	409010	NUIN	1052190
417000	417010	Prosthetic-Orthotic Ctr	1021799
409000	409010	NUIN	1018009
408000	408010	Immunobiology Center	1018009
305000	305010	Feinberg Cardio Rsch	1018009
413000	413010	CHCRC	1015205
430000	430010	Bluhm Institute	1037261
408000	408010	Immunobiology Center	1001653
424000	424010	Center for Global Health	1073619
408000	408010	Immunobiology Center	1041070
409000	409010	NUIN	1027443
403000	403010	CNADC	1027443
413000	413010	CHCRC	1027443
420000	420010	NUCATS	1037252
404000	404010	CHS	1043582
425000	425010	Reproductive Science	1038702
413000	413010	CHCRC	1025724
413000	413010	CHCRC	1037282
409000	409010	NUIN	1042064
409000	409010	NUIN	1031152
408000	408010	Immunobiology Center	1016930
431300	431310	STIL	1015340
417000	417010	Prosthetic-Orthotic Ctr	1001887
404000	404010	CHS	1001887
413000	413010	CHCRC	1001887
430000	430010	Bluhm Institute	1000906
305000	305010	Feinberg Cardio Rsch	1000906
305000	305010	Feinberg Cardio Rsch	1010557
424000	424010	Center for Global Health	1073643
305000	305010	Feinberg Cardio Rsch	1041463
413000	413010	CHCRC	1041463
413000	413010	CHCRC	1040000
409000	409010	NUIN	1049467
409000	409010	NUIN	1023778
413000	413010	CHCRC	1018588
413000	413010	CHCRC	1037549
413000	413010	CHCRC	1014376
413000	413010	CHCRC	1050308
413000	413010	CHCRC	1024471
307000	307060	Med-Health Care Studies	1053182
413000	413010	CHCRC	1012240
431600	431610	Ct for Population Hlth Sc	1023190
305000	305010	Feinberg Cardio Rsch	1023190
409000	409010	NUIN	1043672
406000	406010	Buehler COA	1009475
421000	421010	Inst. Women's Health Rsch	1009475
417000	417010	Prosthetic-Orthotic Ctr	1013835
614000	614010	Hugh Knowles Center	1050035
417000	417010	Prosthetic-Orthotic Ctr	1021715
408000	408010	Immunobiology Center	1016759
413000	413010	CHCRC	1001785
423000	423010	Comprehensive Transplant	1001785
413000	413010	CHCRC	1010291
431300	431310	STIL	1047087
417000	417010	Prosthetic-Orthotic Ctr	1020239
404000	404010	CHS	1049949
431300	431310	STIL	1019792
424000	424010	Center for Global Health	1019792
428000	428010	Center for Education	1019792
409000	409010	NUIN	1002042
408000	408010	Immunobiology Center	1002042
409000	409010	NUIN	1008367
409000	409010	NUIN	1009168
425000	425010	Reproductive Science	1002079
413000	413010	CHCRC	1015102
427000	427010	Brain Tumor Institute	1026925
416000	416010	Arthritis Center	1011185
420000	420010	NUCATS	1003800
416000	416010	Arthritis Center	1003800
615000	615010	IPHAM	1003800
429000	429010	Academy of Educators	1003800
404000	404010	CHS	1003800
403000	403010	CNADC	1019577
409000	409010	NUIN	1000359
410000	410010	IBNAM	1029164
420000	420010	NUCATS	1029164
427000	427010	Brain Tumor Institute	1029164
413000	413010	CHCRC	1029164
305000	305010	Feinberg Cardio Rsch	1036796
406000	406010	Buehler COA	1027428
420000	420010	NUCATS	1021653
408000	408010	Immunobiology Center	1021653
305000	305010	Feinberg Cardio Rsch	1021653
305000	305010	Feinberg Cardio Rsch	1037814
413000	413010	CHCRC	1052335
431800	431810	Ctr for Community Health	1014614
404000	404010	CHS	1014614
305000	305010	Feinberg Cardio Rsch	1019834
431600	431610	Ct for Population Hlth Sc	1042402
404000	404010	CHS	1042402
612000	612010	IPR	1042402
431200	431210	CBITs	1042402
426000	426010	Cells to Society	1042402
431800	431810	Ctr for Community Health	1050075
413000	413010	CHCRC	1050075
431200	431210	CBITs	1050075
404000	404010	CHS	1027416
409000	409010	NUIN	1022610
413000	413010	CHCRC	1026388
409000	409010	NUIN	1017256
406000	406010	Buehler COA	1026870
408000	408010	Immunobiology Center	1036119
409000	409010	NUIN	1006865
431700	431710	Ct Patient-Cntred Outcome	1023189
404000	404010	CHS	1023189
409000	409010	NUIN	1017627
413000	413010	CHCRC	1020791
409000	409010	NUIN	1001531
408000	408010	Immunobiology Center	1001531
305000	305010	Feinberg Cardio Rsch	1001531
413000	413010	CHCRC	1001679
305000	305010	Feinberg Cardio Rsch	1010239
430000	430010	Bluhm Institute	1001581
417000	417010	Prosthetic-Orthotic Ctr	1010207
422000	422010	NCCO	1005232
406000	406010	Buehler COA	1005232
408000	408010	Immunobiology Center	1005232
305000	305010	Feinberg Cardio Rsch	1004010
408000	408010	Immunobiology Center	1024251
413000	413010	CHCRC	1013771
408000	408010	Immunobiology Center	1006773
420000	420010	NUCATS	1006058
305000	305010	Feinberg Cardio Rsch	1006058
431600	431610	Ct for Population Hlth Sc	1006058
431500	431510	Ctr for Behavior & Health	1030810
431800	431810	Ctr for Community Health	1030810
422000	422010	NCCO	1030810
408000	408010	Immunobiology Center	1005849
422000	422010	NCCO	1001554
413000	413010	CHCRC	1041556
420000	420010	NUCATS	1004883
425000	425010	Reproductive Science	1004883
409000	409010	NUIN	1004883
403000	403010	CNADC	1018403
409000	409010	NUIN	1018403
413000	413010	CHCRC	1023908
413000	413010	CHCRC	1020213
305000	305010	Feinberg Cardio Rsch	1002633
413000	413010	CHCRC	1021803
420000	420010	NUCATS	1015007
409000	409010	NUIN	1001632
417000	417010	Prosthetic-Orthotic Ctr	1042273
421000	421010	Inst. Women's Health Rsch	1008667
430000	430010	Bluhm Institute	1008667
305000	305010	Feinberg Cardio Rsch	1008667
410000	410010	IBNAM	1036816
420000	420010	NUCATS	1051295
413000	413010	CHCRC	1051295
403000	403010	CNADC	1000436
409000	409010	NUIN	1000436
413000	413010	CHCRC	1000834
431500	431510	Ctr for Behavior & Health	1013766
305000	305010	Feinberg Cardio Rsch	1017219
305000	305010	Feinberg Cardio Rsch	1006769
425000	425010	Reproductive Science	1018597
430000	430010	Bluhm Institute	1001728
305000	305010	Feinberg Cardio Rsch	1001728
305000	305010	Feinberg Cardio Rsch	1013131
429000	429010	Academy of Educators	1049626
420000	420010	NUCATS	1049626
424000	424010	Center for Global Health	1049626
431800	431810	Ctr for Community Health	1010302
615000	615010	IPHAM	1010302
305000	305010	Feinberg Cardio Rsch	1014064
423000	423010	Comprehensive Transplant	1012336
408000	408010	Immunobiology Center	1012336
305000	305010	Feinberg Cardio Rsch	1002699
413000	413010	CHCRC	1002699
413000	413010	CHCRC	1002530
409000	409010	NUIN	1046825
413000	413010	CHCRC	1001575
417000	417010	Prosthetic-Orthotic Ctr	1030041
410000	410010	IBNAM	1030041
413000	413010	CHCRC	1031217
413000	413010	CHCRC	1005743
305000	305010	Feinberg Cardio Rsch	1004893
413000	413010	CHCRC	1042824
424000	424010	Center for Global Health	1005100
408000	408010	Immunobiology Center	1005100
424000	424010	Center for Global Health	1004250
431600	431610	Ct for Population Hlth Sc	1004250
305000	305010	Feinberg Cardio Rsch	1009503
409000	409010	NUIN	1051269
409000	409010	NUIN	1018680
409000	409010	NUIN	1050787
413000	413010	CHCRC	1031809
413000	413010	CHCRC	1037039
403000	403010	CNADC	1026371
417000	417010	Prosthetic-Orthotic Ctr	1023627
429000	429010	Academy of Educators	1016313
406000	406010	Buehler COA	1016313
409000	409010	NUIN	1053946
413000	413010	CHCRC	1003655
413000	413010	CHCRC	1016113
417000	417010	Prosthetic-Orthotic Ctr	1017289
413000	413010	CHCRC	1003245
305000	305010	Feinberg Cardio Rsch	1003245
413000	413010	CHCRC	1035506
409000	409010	NUIN	1019504
305000	305010	Feinberg Cardio Rsch	1019504
429000	429010	Academy of Educators	1019504
409000	409010	NUIN	1021274
413000	413010	CHCRC	1015812
307000	307060	Med-Health Care Studies	1051112
409000	409010	NUIN	1006301
409000	409010	NUIN	1043341
413000	413010	CHCRC	1043341
409000	409010	NUIN	1052740
413000	413010	CHCRC	1037305
305000	305010	Feinberg Cardio Rsch	1015048
409000	409010	NUIN	1015048
413000	413010	CHCRC	1023360
413000	413010	CHCRC	1018164
305000	305010	Feinberg Cardio Rsch	
306000	306010	Feinberg Neuroscience	1044200
427000	427010	Brain Tumor Institute	1044200
409000	409010	NUIN	1044200
413000	413010	CHCRC	1043443
431600	431610	Ct for Population Hlth Sc	1044490
431400	431410	CCNE	1018461
408000	408010	Immunobiology Center	1004676
409000	409010	NUIN	1004676
614000	614010	Hugh Knowles Center	1010479
305000	305010	Feinberg Cardio Rsch	1015615
413000	413010	CHCRC	1036144
305000	305010	Feinberg Cardio Rsch	1016474
409000	409010	NUIN	1022576
431500	431510	Ctr for Behavior & Health	1003414
431600	431610	Ct for Population Hlth Sc	1003414
409000	409010	NUIN	1000576
408000	408010	Immunobiology Center	1034656
413000	413010	CHCRC	1034656
431900	431910	Ct for Educ Public Health	1003295
431500	431510	Ctr for Behavior & Health	1003295
424000	424010	Center for Global Health	1003295
431900	431910	Ct for Educ Public Health	1001035
431600	431610	Ct for Population Hlth Sc	1001035
413000	413010	CHCRC	1003502
431800	431810	Ctr for Community Health	1008668
428000	428010	Center for Education	1008668
406000	406010	Buehler COA	1008668
409000	409010	NUIN	1005132
413000	413010	CHCRC	1018211
409000	409010	NUIN	1018211
305000	305010	Feinberg Cardio Rsch	1021446
413000	413010	CHCRC	1003863
305000	305010	Feinberg Cardio Rsch	1016299
413000	413010	CHCRC	1001208
423000	423010	Comprehensive Transplant	1021275
408000	408010	Immunobiology Center	1021275
410000	410010	IBNAM	1021275
413000	413010	CHCRC	1048734
409000	409010	NUIN	1001018
424000	424010	Center for Global Health	1013067
412000	412010	Center for AIDS Research	1013067
409000	409010	NUIN	1000734
431800	431810	Ctr for Community Health	2376710
413000	413010	CHCRC	1003117
409000	409010	NUIN	1009340
305000	305010	Feinberg Cardio Rsch	1022774
305000	305010	Feinberg Cardio Rsch	1005723
413000	413010	CHCRC	1024549
431600	431610	Ct for Population Hlth Sc	1004037
420000	420010	NUCATS	1004037
403000	403010	CNADC	1004037
409000	409010	NUIN	1006601
305000	305010	Feinberg Cardio Rsch	1046251
431700	431710	Ct Patient-Cntred Outcome	1002643
420000	420010	NUCATS	1002643
416000	416010	Arthritis Center	1002643
409000	409010	NUIN	1003702
305000	305010	Feinberg Cardio Rsch	1024499
413000	413010	CHCRC	1004916
408000	408010	Immunobiology Center	1004916
432000	432010	Ct Engineer and Health	1037160
408000	408010	Immunobiology Center	1000886
409000	409010	NUIN	1000886
420000	420010	NUCATS	1027447
305000	305010	Feinberg Cardio Rsch	1027447
305000	305010	Feinberg Cardio Rsch	1016818
431900	431910	Ct for Educ Public Health	1040956
409000	409010	NUIN	1000332
403000	403010	CNADC	1000332
306000	306010	Feinberg Neuroscience	1000332
305000	305010	Feinberg Cardio Rsch	1000332
305000	305010	Feinberg Cardio Rsch	1032810
413000	413010	CHCRC	1007939
431500	431510	Ctr for Behavior & Health	1038918
431600	431610	Ct for Population Hlth Sc	1038918
413000	413010	CHCRC	1017234
420000	420010	NUCATS	1017234
409000	409010	NUIN	1005265
420000	420010	NUCATS	1005265
403000	403010	CNADC	1005265
431500	431510	Ctr for Behavior & Health	1010235
431600	431610	Ct for Population Hlth Sc	1010235
422000	422010	NCCO	1010235
305000	305010	Feinberg Cardio Rsch	1010235
403000	403010	CNADC	1048036
409000	409010	NUIN	1048036
305000	305010	Feinberg Cardio Rsch	1015091
431900	431910	Ct for Educ Public Health	1011821
413000	413010	CHCRC	1024807
427000	427010	Brain Tumor Institute	1049440
431600	431610	Ct for Population Hlth Sc	1019546
431900	431910	Ct for Educ Public Health	1023591
431800	431810	Ctr for Community Health	1023591
404000	404010	CHS	1023591
413000	413010	CHCRC	1023591
413000	413010	CHCRC	1005300
413000	413010	CHCRC	1001201
409000	409010	NUIN	1003883
409000	409010	NUIN	1024039
403000	403010	CNADC	1002340
413000	413010	CHCRC	1023575
425000	425010	Reproductive Science	1004472
305000	305010	Feinberg Cardio Rsch	1004472
413000	413010	CHCRC	1004472
416000	416010	Arthritis Center	1026407
409000	409010	NUIN	1001613
410000	410010	IBNAM	1033423
305000	305010	Feinberg Cardio Rsch	1033423
413000	413010	CHCRC	1033423
413000	413010	CHCRC	1010560
413000	413010	CHCRC	1028845
413000	413010	CHCRC	1007298
409000	409010	NUIN	1032062
412000	412010	Center for AIDS Research	1053099
413000	413010	CHCRC	1019117
413000	413010	CHCRC	1014980
409000	409010	NUIN	1023232
413000	413010	CHCRC	1017032
409000	409010	NUIN	1040669
305000	305010	Feinberg Cardio Rsch	1003176
409000	409010	NUIN	1003176
431800	431810	Ctr for Community Health	1009562
408000	408010	Immunobiology Center	1000909
413000	413010	CHCRC	1050962
409000	409010	NUIN	1023276
412000	412010	Center for AIDS Research	1008692
305000	305010	Feinberg Cardio Rsch	1032893
413000	413010	CHCRC	1008931
413000	413010	CHCRC	1007679
408000	408010	Immunobiology Center	1002413
409000	409010	NUIN	1001443
306000	306010	Feinberg Neuroscience	1001443
305000	305010	Feinberg Cardio Rsch	1001443
409000	409010	NUIN	1024510
305000	305010	Feinberg Cardio Rsch	1001320
305000	305010	Feinberg Cardio Rsch	1015315
420000	420010	NUCATS	1018167
305000	305010	Feinberg Cardio Rsch	1002930
431600	431610	Ct for Population Hlth Sc	1002930
413000	413010	CHCRC	1036135
305000	305010	Feinberg Cardio Rsch	1002791
410000	410010	IBNAM	1047667
423000	423010	Comprehensive Transplant	1027156
412000	412010	Center for AIDS Research	1027156
411000	411010	Asher Center	1024438
408000	408010	Immunobiology Center	1011244
410000	410010	IBNAM	1035946
421000	421010	Inst. Women's Health Rsch	1024477
422000	422010	NCCO	1024477
306000	306010	Feinberg Neuroscience	1024477
406000	406010	Buehler COA	1024477
403000	403010	CNADC	1024477
423000	423010	Comprehensive Transplant	1030597
413000	413010	CHCRC	1023239
431800	431810	Ctr for Community Health	1052935
425000	425010	Reproductive Science	1052935
424000	424010	Center for Global Health	1052935
412000	412010	Center for AIDS Research	1052935
416000	416010	Arthritis Center	1003978
408000	408010	Immunobiology Center	1005748
413000	413010	CHCRC	1018694
305000	305010	Feinberg Cardio Rsch	1001574
417000	417010	Prosthetic-Orthotic Ctr	1014221
431900	431910	Ct for Educ Public Health	1011815
404000	404010	CHS	1011815
431800	431810	Ctr for Community Health	1044779
305000	305010	Feinberg Cardio Rsch	1025958
305000	305010	Feinberg Cardio Rsch	1004414
305000	305010	Feinberg Cardio Rsch	1015352
412000	412010	Center for AIDS Research	1000867
417000	417010	Prosthetic-Orthotic Ctr	1013561
424000	424010	Center for Global Health	1013561
409000	409010	NUIN	1018683
305000	305010	Feinberg Cardio Rsch	1048496
413000	413010	CHCRC	1016548
305000	305010	Feinberg Cardio Rsch	1019129
431800	431810	Ctr for Community Health	1052350
404000	404010	CHS	1052350
431300	431310	STIL	1037573
409000	409010	NUIN	1042585
409000	409010	NUIN	1047445
409000	409010	NUIN	1024642
413000	413010	CHCRC	1016846
413000	413010	CHCRC	1020762
