APPT_ENTITY_ABBR	APPT_ENTITY_CHAIR_FACULTY_ID	APPT_ENTITY_ID	APPT_ENTITY_NAME	APPT_ENTITY_SCHOOL
Feinberg		600000	Feinberg School of Medicine	Feinberg
Dental School		601000	Dental School	Dental
Kellogg		602000	Kellogg School of Management	Kellogg
Law School		603000	School of Law	Law
Medill		604000	Medill School of Journalism	Medill
MEAS		605000	McCormick School of Engineering	MEAS
SESP		606000	School of Education and Social Policy	SESP
Communication		607000	School of Communication	Communication
WCAS		608000	Weinberg College of Arts and Sciences	WCAS
Anthropology		608100	Anthropology	WCAS
SCS		609000	School of Continuing Studies	SCS
Provost's Office		610000	Provost's Office	Provost's Office
OCRT		311000	Office of Clinical Research and Training	Feinberg
FSM Admin		501000	FSM Administration	Feinberg
Emergency Medicine	600016	303000	Emergency Medicine	Feinberg
Neurological Surgery	600272	309000	Neurological Surgery	Feinberg
Medical Social Sciences	600776	323000	Medical Social Sciences	Feinberg
OME & Faculty Dev.	601079	502000	Medical Education and Faculty Development	Feinberg
Administration	601079	504000	Administration	Feinberg
Physical Therapy	601227	317000	Physical Therapy and Human Movement Sciences	Feinberg
Buehler COA	601424	406000	Buehler Center on Aging	Feinberg
CM Biology	601894	101000	Cell and Molecular Biology	Feinberg
Pediatrics	602011	316000	Pediatrics	Feinberg
NUCATS	602019	420000	Northwestern University Clinical and Translational Sciences Institute (NUCATS)	Feinberg
IHS	602357	404000	Institute for Healthcare Studies	Feinberg
Ophthalmology	602530	312000	Ophthalmology	Feinberg
Otolaryngology	602752	314000	Otolaryngology - Head and Neck Surgery	Feinberg
Neurology	602761	308000	Ken and Ruth Davee Department of Neurology	Feinberg
Ctr for Genetic Medicine	602909	402000	Center for Genetic Medicine	Feinberg
Micro-Immunology	603022	102000	Microbiology-Immunology	Feinberg
CNADC	603665	403000	Cognitive Neurology and Alzheimer's Disease Center	Feinberg
Radiation Oncology	603765	319500	Radiation Oncology	Feinberg
Med Humanities Bioethics	603799	503000	Medical Humanities and Bioethics	Feinberg
NUIN	603849	409000	Northwestern University Institute of Neuroscience (NUIN)	Feinberg
Dermatology	604139	302000	Dermatology	Feinberg
Lurie Cancer Center	604638	401000	Robert H. Lurie Comprehensive Cancer Center	Feinberg
P M & R	604676	315000	Physical Medicine and Rehabilitation	Feinberg
Radiology	604722	319000	Radiology	Feinberg
Urology	604830	321000	Urology	Feinberg
Orthopaedic Surgery	604831	313000	Orthopaedic Surgery	Feinberg
MPBC	605063	103000	Molecular Pharmacology and Biological Chemistry	Feinberg
Anesthesiology	605314	301000	Anesthesiology	Feinberg
IBNAM	605354	410000	Institute for Bioengineering and Nanoscience in Advanced Medicine (IBNAM)	Feinberg
Physiology	605395	104000	Physiology	Feinberg
Preventive Medicine	605649	202000	Preventive Medicine	Feinberg
Inst. Women's Health Rsch	605984	421000	The Institute for Women's Health Research	Feinberg
Ob/Gyn	606237	310000	Obstetrics and Gynecology	Feinberg
Surgery	606501	320000	Surgery	Feinberg
Family & Community Med	607149	304000	Family and Community Medicine	Feinberg
Feinberg Cardio Rsch	607417	305000	Feinberg Cardiovascular Research Institute	Feinberg
Pathology	607695	201000	Pathology	Feinberg
Psychiatry	608025	318000	Psychiatry and Behavioral Sciences	Feinberg
Asher Center	608025	411000	Asher Center for the Study and Treatment of Depressive Orders	Feinberg
Medicine	608119	307000	Medicine	Feinberg
