APPOINT_FLAG	CENTER_FLAG	DEPT_ID	DIVISION_ID	DV_ABBR	DV_CAMPUS_ID	DV_LOCATION_ID	DV_NAME	DV_PHONE	DV_ROOM_NUMBER	DV_TYPE	DV_URL	LABEL_NAME	PICTURE_DIR	SAU_ID	SEARCH_NAME	WEB_ID
1	0	101000	101010	CM Biology	1	116	Cell and Molecular Biology	312/503-8250	7-334	Basic	http://www.cmb.northwestern.edu/	CM Biology	cmb	390200	Cell and molecular biology	62674
1	0	102000	102010	Micro-Immunology	1	114	Microbiology-Immunology	312/503-8230	6-447	Basic	http://bugs.mimnet.northwestern.edu/labs/	Micro-Immunology	micro	391900	Microbiology-immunology	62713
1	0	103000	103010	MPBC	1	116	Molecular Pharmacology and Biological Chemistry	312/503-0800	8-296	Basic	http://www.pharm.northwestern.edu/	MPBC	mpbc	399300	Molecular pharmacology and biological chemistry	62618
1	0	104000	104010	Physiology	1	116	Physiology	312/503-0752	5-654	Basic	http://www.physio.northwestern.edu/	Physiology	physiology	401000	Physiology	62745
1	0	201000	201010	Pathology	1	116	Pathology	312/503-8144	3-140	Clinical	http://www.pathology.northwestern.edu/	Pathology	pathology	396400	Pathology	62742
0	0	202000	202000	Preventive Med-Rollup	1	130	Preventive Medicine-Rollup	312/908-7914	1400	Basic	http://www.preventivemedicine.northwestern.edu/	Preventive Medicine-Rollup			Preventive medicine-Rollup	62775
1	0	202000	202010	Preventive Medicine	1	130	Preventive Medicine	312/908-7914	1400	Basic	http://www.preventivemedicine.northwestern.edu/	Preventive Medicine	prevmed		Preventive medicine	62746
1	0	202000	202020	PrevMed-Health&BiomedInfo	1	130	Preventive Medicine-Health and Biomedical Informatics	312/908-7914	1400	Basic	http://informatics.northwestern.edu/hbmi/	PrevMed-Health & Biomedical Informatics	prevmed-bioinform		Preventive medicine-Health and Biomedical Informatics	62774
1	0	301000	301010	Anesthesiology	1	102	Anesthesiology	312/926-2280	5-704	Clinical	http://www.feinberg.northwestern.edu/anesthesiology/index.html	Anesthesiology	anesth	402500	Anesthesiology	62672
1	0	302000	302010	Dermatology	1	129	Dermatology	312/695-8106	1600	Clinical	http://www.feinberg.northwestern.edu/depts/dermatology/index.html	Dermatology	dermatology	404800	Dermatology	62676
1	0	303000	303010	Emergency Med.	1	417	Emergency Medicine	312/694-7000	200	Clinical	http://www.feinberg.northwestern.edu/emergencymed/index.html	Emergency Medicine	emerg-med		Emergency Medicine	62648
1	0	304000	304010	Family & Community Med	1	100	Family and Community Medicine	312/503-1273	4th Floor	Clinical	http://www.familymedicine.northwestern.edu/index.html	Family and Community Medicine	family-med	405800	Family and Community Medicine	62677
1	1	305000	305010	Feinberg Cardio Rsch	1	113	Feinberg Cardiovascular Research Institute	312/503-2296	12-703	Clinical	http://www.fcvri.northwestern.edu/	Feinberg Cardiovascular Research Center	fcri	406000	Cardiovascular research institute	62678
0	1	306000	306010	Feinberg Neuroscience	1	114	Feinberg Clinical Neuroscience Research Institute	312/503-4300	5-474	Basic	http://www.feinberg.northwestern.edu/feinbergneuro/	Feinberg Neuroscience			Clinical neuroscience research institute	62643
0	0	307000	307000	Med Rollup	1		Medicine-Rollup				http://www.medicine.northwestern.edu/	Med-Rollup			Medicine-Rollup	62633
1	0	307000	307010	Medicine	1	129	Medicine	312/926-2118	3-150	Clinical	http://www.medicine.northwestern.edu/	Medicine	med-DOM	406600	Medicine	62704
1	0	307000	307020	Med-Allergy-Immunology	1	137	Medicine-Allergy-Immunology	312/503-4000	M-316	Clinical	http://www.medicine.northwestern.edu/divisions/allergy-immunology-0	Medicine:Allergy-Immunology	med-allergy	406800	Allergy-Immunology	62634
1	0	307000	307030	Med-Rheumatology	1	137	Medicine-Rheumatology	312/503-8003	M-300	Clinical	http://www.medicine.northwestern.edu/divisions/rheumatology/	Medicine:Rheumatology	med-rheum	407000	Rheumatology	62711
0	0	307000	307040	Med-Atherosclerosis	1	111	Medicine-Atherosclerosis	312/238-4701	1407	Clinical		Medicine:Atherosclerosis		407200	Atherosclerosis	62626
