EMPLOYEE_ID	DESCRIPTION
1000176	Clinical:  Analytical flow cytometry.  I am the Medical Director of Flow Cytometry Laboratory at Northwestern Memorial Hospital.  <br><br>Research:  Investigation of the basic cell biology of B chronic lymphocytic leukemia (CLL) is the major research interest of the laboratory. B-CLL is characterized by malignant cells having an anti-apoptotic phenotype and the accumulation of malignant cells is thought to be primarily driven by a block in apoptosis. However, when B-CLL cells are placed in in vitro culture, rapid apoptosis occurs raising the question of whether there are inherent defects in the apoptotic regulatory machinery or whether the dysregualtion seen is due to paracrine and/or autocrine factors. We are currently investigating potential paracrine/autocrine loops regulating apoptosis in the malignant B cell population. Specifically, the potential role of altered cytokine production by tumor specific oligoclonal T cells in these patients and its relationship to apoptosis control in the malignant B cells is being studied.    Although proliferation centers are seen in B-CLL, an additional abnormality is dysregulation of proliferation control in the malignant B cells with few proliferating cells seen in vivo and a lack of proliferative response to a number of normal B cell mitogens. In fact, although non-proliferative, the B cells in B-CLL patients may not be blocked in G0 but rather at a later point in the cell cycle. The other major area of investigation in the laboratory is elucidation of the mechanisms of proliferation dysregulation in these patients.    The laboratory is also involved in development of a number of complex multiparametric flow cytometry based clinical analyses both for diagnostic purposes and for patient specific therapeutic decision/monitoring purposes including assessment of signal transduction pathways in the setting of kinase inhibtor therapies.
1000184	Autopsy pathology, Cardiac pathology<BR><BR>Lipids are important regulators of the activity of many proteins including those involved in cardiac, vascular, pulmonary, and neural regulation, yet little is known about the molecular mechanisms mediating these effects. My laboratory staff members are engaged in a program of basic research to elucidate the molecular mechanisms by which lipids act as specific ligands to regulate cellular responses, and to investigate in select areas of cardiovascular disease how aberrations of signaling pathways may play a vital role in the pathogenesis of human disease.We have used the family of phosphoinositide-specific phospholipase C isoforms as a model to study protein-lipid interactions. Upon stimulation by various hormones these membrane associated enzymes hydrolyze polyphosphoinositides to yield second messengers such diacylglycerol and inositol 1,4,5-trisphosphate. The determinants of enzyme function are complex and can be broken down into several primary components: substrate binding and catalysis, enzyme translocation, and regulation. During the past several years we have identified the structural motifs in the PLC delta 1 isoform that mediate each of the three primary functions. All three motifs require the binding of a specific lipid for function. The structural motif mediating translocation also modulates the rate catalysis, and is encoded by a unique domain termed the pleckstrin homology or PH domain. This newly discovered protein module of 100 amino acids exists in many molecules (including PLC d1) that participate in signal transduction. Our research is among the first to demonstrate a clear function in signal transduction for the PH domain, and serves a paradigm for the activation and regulation of many signaling molecules.
1000332	My primary focus is the development and application of neuroimaging methods to better understand human development and physiology. Work in the lab draws from many disciplines such as biomedical engineering, physics, biophysics, statistics, electrical engineering, computer science, neuroscience, physiology, biology, and anatomy. While typical development occurs in normal healthy volunteers, a major effort is made to investigate the underlying physiology and function in a variety of disease conditions.
1000359	Messenger RNA stability, regulation of gene expression by protein kinase; signal transduction
1000436	neural networks, functional imaging, dementia, cerebral cortex, cholinergic pathways
1000444	Cell  movemnet, cytoskeleton, biological forces
1000475	Alzheimer's disease, Memory disorders, Neuropsychology, Early Onset Dementia, Primary Progressive Aphasia, Frontotemporal Dementia, Superaging.The ability to use language can be progressively disrupted by neurodegenerative diseases of the brain that target circumscribed regions that normally mediate language in healthy individuals.  My clinical and research interests focus on Individuals with Primary Progressive Aphasia, Frontotemporal Dementia and Alzheimer's Disease.  Research projects address the neuropsychological, neuroimaging and neuropathological variables associated with these syndromes, in order to contribute to our understanding of risk and the genetic factors that determine regional brain vulnerability to these diseases and to identify biomarkers that can be used in diagnosis during the patient's lifetime.  To date, there are no biomarkers that definitively predict the type of the neuropathology in these clinical syndromes in the individual patient.  Additional interests in the area of brain aging and its effects on cognition lie in determining factors associated with 'Superaging', the maintenance of a high level of cognitive ability into the 9th decade of life and beyond.
1000531	Acute medical problems in primary care, Palliative care
1000554	Gynecological malignancies, Gynecology early detection, Ovarian Cancer Early Detection
1000634	My main focus of interest is primary care pediatrics.  I practice at the Childrens Memorial Hospital Uptown Clinic, an academic community health center. I am also very committed to teaching residents and medical students. One of my main focus areas is literacy promotion in pediatrics.  I am the Medical Director of Reach Out and Read (ROR) Illinois.  I am also the Chairperson of the Leyendo Juntos (Reading Together) National Advisory Committee for Reach Out and Read, working to improve RORs impact in the Latino community.  My other primary area of interest is health literacy. From 2006-9 I was a member of the AAP Pediatric Advisory Committee on Health Literacy (HL), and helped develop a Pediatric HL guide with plain language handouts, and a Pedialink module.  My other areas of interest include health disparities in Latino families, monolingual and bilingual language development and improving links between pediatricians and schools.
