EMPLOYEE_ID	DESCRIPTION
1000176	Clinical:  Analytical flow cytometry<br><br><br/>Research:  Investigation of the basic cell biology of B chronic lymphocytic leukemia (CLL) is the major research interest of the laboratory. B-CLL is characterized by malignant cells having an anti-apoptotic phenotype and the accumulation of malignant cells is thought to be primarily driven by a block in apoptosis. However, when B-CLL cells are placed in in vitro culture, rapid apoptosis occurs raising the question of whether there are inherent defects in the apoptotic regulatory machinery or whether the dysregualtion seen is due to paracrine and/or autocrine factors. We are currently investigating potential paracrine/autocrine loops regulating apoptosis in the malignant B cell population. Specifically, the potential role of altered cytokine production by tumor specific oligoclonal T cells in these patients and its relationship to apoptosis control in the malignant B cells is being studied. <br/>   Although proliferation centers are seen in B-CLL, an additional abnormality is dysregulation of proliferation control in the malignant B cells with few proliferating cells seen in vivo and a lack of proliferative response to a number of normal B cell mitogens. In fact, although non-proliferative, the B cells in B-CLL patients may not be blocked in G0 but rather at a later point in the cell cycle. The other major area of investigation in the laboratory is elucidation of the mechanisms of proliferation dysregulation in these patients.<br/>    Lastly, the laboratory is also involved in development of a number of complex multiparametric flow cytometry based clinical analyses both for diagnostic purposes (development of solid tumor 'immunophenotyping' panels) and for patient specific therapeutic decision/monitoring purposes including assessment of signal transduction pathways in the setting of kinase inhibtor therapies.
1000332	MRI, functional MRI, neuroimaging, perfusion, diffusion, cerebrovascular disease,caffeine
1000359	Messenger RNA stability, regulation of gene expression by protein kinase; signal transduction
1000436	neural networks, functional imaging, dementia, cerebral cortex, cholinergic pathways
1000444	Cell  movemnet, cytoskeleton, biological forces
1000475	Alzheimer's disease, Memory disorders, Neuropsychology, Early Onset Dementia, Primary Progressive Aphasia, Frontotemporal Dementia, Superaging.<br/>The ability to use language can be progressively disrupted by neurodegenerative diseases of the brain that target circumscribed regions that normally mediate language in healthy individuals.  My clinical and research interests focus on Individuals with Primary Progressive Aphasia, Frontotemporal Dementia and Alzheimer's Disease.  Research projects address the neuropsychological, neuroimaging and neuropathological variables associated with these syndromes, in order to contribute to our understanding of risk and the genetic factors that determine regional brain vulnerability to these diseases and to identify biomarkers that can be used in diagnosis during the patient's lifetime.  To date, there are no biomarkers that definitively predict the type of the neuropathology in these clinical syndromes in the individual patient.  Additional interests in the area of brain aging and its effects on cognition lie in determining factors associated with 'Superaging', the maintenance of a high level of cognitive ability into the 9th decade of life and beyond.
1000531	Acute medical problems in primary care, Palliative care
1000554	Gynecological malignancies, Gynecology early detection, Ovarian Cancer Early Detection
1000634	My main focus of interest is primary care pediatrics.  I practice at the Children?s Memorial Hospital Uptown Clinic, an academic community health center. I am also very committed to teaching residents and medical students. One of my main focus areas is literacy promotion in pediatrics.  I the Medical Director of Reach Out and Read (ROR) Illinois.  I am also the Chairperson of the Leyendo Juntos (Reading Together) National Advisory Committee for Reach Out and Read, working to improve ROR?s impact in the Latino community.  My other primary area of interest is health literacy. From 2006-9 I was a member of the AAP Pediatric Advisory Committee on Health Literacy (HL), and helped develop a Pediatric HL guide with plain language handouts, and a Pedialink module.  My other areas of interest include health disparities in Latino families, monolingual and bilingual language development and improving links between pediatricians and schools.
1000727	Dr. Leikin joined the administration of the Robert H. Lurie Comprehensive Cancer Center in 1989 and has served as the Scientific Program Director of the Lurie Cancer Center for more than twelve years. She has 16 peer reviewed publications from her laboratory research years.  Dr. Leikin has considerable expertise in integrating multi-investigator and training programs. She was instrumental in the Cancer Center obtaining a Breast Program Planning Grant (CA65764), a Prostate Program Planning Grant (CA69851), the SPORE in Breast Cancer (CA89018) and the SPORE in Prostate Cancer (CA90386).  Dr. Leikin has also served continuously as Administrative Director for the NCI-funded Training Program in Signal Transduction and Cancer (T32 CA070085), the Clinical Oncology Research Training Program (T32 CA079447), the Training Program in Oncogenesis and Developmental Biology (T32 CA080621) and the SPORE in Prostate Cancer (P50 CA090386).  Since 1999 Dr. Leikin has served as Director for the CURE  supplement to the Lurie Cancer Center?s Core grant (P30 CA60553)that enables underserved minority undergraduate students to conduct biomedical research during the summer months. Over 100 students have participated in the CURE Program.
