EMPLOYEE_ID	INTEREST
0003040	Global Health.
0003040	HIV infection in underserved communities.
0003040	Tropical Medicine
1000176	Cancer: Blood (leukemia, lymphomas)
1000176	Signal Transduction
1000184	Biochemistry: Lipids
1000184	Cardiovascular Diseases
1000184	Molecular Pharmacology
1000184	Signal Transduction
1000184	Vascular Biology
1000332	Bioengineering                                        
1000332	Biophysics
1000332	Brain, Nervous System
1000332	Neuroscience 
1000332	Neurosurgery
1000332	Physiology
1000332	Radiology
1000332	Vascular Biology
1000359	Biochemistry: Nucleic Acid
1000359	Biochemistry: Proteins
1000359	Endocrinology
1000359	Molecular Biology
1000359	Signal Transduction
1000436	Aging
1000436	Alzheimer's Disease
1000436	Neurology
1000436	Neuroscience 
1000436	Psychiatry
1000444	Cell Biology
1000475	Aging
1000475	Alzheimer's Disease
1000475	Dementia
1000475	Neuropsychology
1000634	Developmental-Behavioral Pediatrics
1000634	Pediatrics
1000634	Primary Care
1000654	Pediatric Neurology
1000654	Rehabilitation/Therapy
1000727	Cancer: Prostate
1000727	Graduate Medical Education
1000732	Brain aneurysm
1000732	Brain arteriovenous malformation
1000732	Carotid Stenosis
1000732	Skull Base Surgery
1000734	Bioengineering                                        
1000734	Computational Neuroscience
1000734	Movement Control
1000734	Neurobiology
1000734	Neuroscience 
1000734	Rehabilitation/Therapy
1000734	Spinal Cord Injury
1000734	Stroke
1000810	Cancer Biology
1000810	Embryology
1000810	Microbiology
1000810	Urology
1000867	Genetics
1000867	HIV Infection
1000867	Viral Pathogenesis
1000906	Cardiology
1000906	Coronary Artery Interventions, Percutaneous Valve Therapy
1000909	Cancer Biology
1000909	DNA Repair
1000909	DNA Replication
1000909	Eukaryotic Cells
1000909	Gene Regulation
1000909	Genetics
1000909	Molecular Biology
1000909	Virology
1000927	Communications
1001011	Pathology
1001018	Cell Biology
1001018	Developmental Neurobiology
1001018	Movement Control
1001018	Nervous System Diseases
1001018	Neurology
1001018	Neuroscience 
1001018	Physiology
1001018	Proteomics
1001035	Aging
1001035	Bioethics
1001035	Epidemiology
1001035	Ethics of Research with Human Subjects
1001035	Nutrition, Dietetics
1001035	Preventive Medicine
1001035	Public Health
1001130	Genetics: Medical
1001130	Molecular Genetics
1001200	Aging, Geriatrics, and Eldercare
1001200	Arthritis
1001200	Health Services Research
1001200	Public Policy
1001200	Rehabilitation/Therapy
1001208	HIV Infection
1001208	Infectious Diseases
1001208	Infectious Diseases-viral
1001208	Pediatrics
1001208	Pharmacovigilance
1001220	Child and Adolescent psychiatry
1001222	Mental Health
1001222	Psychology
1001222	Undergraduate Medical Education
1001264	Autoimmune Diseases
1001264	Neuroscience 
1001264	Ophthalmology
1001320	Angiogenesis
1001320	Cancer Biology
1001320	Vascular Biology
1001348	I currently serve as the internal medicine residency program director for the Department of Medicine.  My research interests include procedural training of internal medicine residents, ambulatory medical education and clinical skills assessments
1001348	Medical Education
1001348	Post-graduate Medical Education
1001348	Resuscitation
1001348	Simulation
1001349	Inflammatory Bowel Disease, GERD
1001386	Emergency Medicine
1001386	Pediatrics
1001402	Neoplasms
1001402	Patient Safety
1001402	Radiology
1001402	Women's Health
1001431	Genetics: Medical
1001431	Metabolism
1001431	Neurofibromatosis
1001443	Minimally Invasive Surgery
1001443	Neuroscience 
1001443	Radiology
1001443	Vascular Biology
1001472	Cardiology
1001472	Cellular Electrophysiology
1001472	General clinical cardiology; electrocardiography and related studies; pacemaker follow-up and evaluation; clinical trials
1001554	Hypertension
1001554	Metabolism
1001554	Obesity
1001574	Biophysics
1001574	Cardiovascular Diseases
1001574	Cell Imaging
1001574	Pharmacology
1001574	Physiology
1001574	Research interests include physiological regulation of cellular calcium cycling in myocytes in intact heart and in isolated myocytes, role of calcium handling in cardiac arrhythmias and use of stem cells and nanotechnology in cardiac repair.
1001575	Adenosine Derivatives
1001575	Emergency Medicine
1001575	Health Policy
