DEPT_ID	DIVISION_ID	DV_ABBR	EMPLOYEE_ID
315000	315010	P M & R	1006865
315000	315010	P M & R	1042616
605000	605010	MEAS	1035946
607000	607010	Communication	1011279
319000	319010	Radiology	1051280
605000	605010	MEAS	1032326
315000	315010	P M & R	1006815
605000	605010	MEAS	1059327
104000	104010	Physiology	1011901
315000	315010	P M & R	1018056
316000	316010	Pediatrics	1066134
104000	104010	Physiology	1063230
605000	605010	MEAS	1053382
605000	605010	MEAS	1049324
307000	307010	Medicine	1066508
102000	102010	Micro-Immunology	
608000	608010	WCAS	1006228
