DEPT_ID	DIVISION_ID	DV_ABBR	EMPLOYEE_ID
315000	315010	P M & R	1006865
605000	605010	MEAS	1032326
607000	607010	Communication	1011279
605000	605010	MEAS	1035946
104000	104010	Physiology	1011901
316000	316010	Pediatrics	1066134
503000	503010	Med Humanities Bioethics	1057065
307000	307010	Medicine	1066508
315000	315010	P M & R	1042616
319000	319010	Radiology	1051280
608000	608010	WCAS	1006228
605000	605010	MEAS	1049324
612000	612010	IPR	1072977
313000	313010	Orthopaedic Surgery	1028399
403000	403010	CNADC	
307000	307010	Medicine	
315000	315010	P M & R	1059327
104000	104010	Physiology	1063230
315000	315010	P M & R	1018056
315000	315010	P M & R	1006815
102000	102010	Micro-Immunology	1071785
