DEPT_ID	DIVISION_ID	DV_ABBR	EMPLOYEE_ID
315000	315010	P M & R	1006865
607000	607010	Communication	1011279
605000	605010	MEAS	1035946
315000	315010	P M & R	1042616
319000	319010	Radiology	1051280
608000	608010	WCAS	1006228
612000	612010	IPR	1072977
313000	313010	Orthopaedic Surgery	1028399
104000	104010	Physiology	1063230
503000	503010	Med Humanities Bioethics	1057065
605000	605010	MEAS	1075710
202000	202010	Preventive Medicine	1063005
315000	315010	P M & R	1018056
315000	315010	P M & R	1077694
202000	202010	Preventive Medicine	1042563
315000	315010	P M & R	1006815
102000	102010	Micro-Immunology	1071785
307000	307010	Medicine	1070307
316000	316010	Pediatrics	1066134
104000	104010	Physiology	1011901
320000	320100	Surg-Vascular	1049324
315000	315010	P M & R	1059327
605000	605010	MEAS	1032326
