DIVISION_ID	DV_ABBR	EMPLOYEE_ID
404010	IHS	1049458
406010	Buehler COA	1042840
202010	Preventive Medicine	1018012
102010	Micro-Immunology	1021673
303010	Emergency Med.	1005415
502010	OME & Faculty Dev.	1050367
320080	Surg-Transplant	1052551
314010	Otolaryngology	1052551
321010	Urology	1007018
316010	Pediatrics	1015104
320080	Surg-Transplant	1039271
201010	Pathology	1039479
101010	CM Biology	1027175
315010	P M & R	1044550
301010	Anesthesiology	1044550
320010	Surgery	1047091
317010	Physical Therapy	1005227
102010	Micro-Immunology	1012598
320080	Surg-Transplant	1012598
104010	Physiology	1001981
201010	Pathology	1001981
104010	Physiology	1052190
402010	Ctr for Genetic Medicine	1018009
320010	Surgery	1018009
320010	Surgery	1001402
103010	MPBC	1027443
315010	P M & R	1000787
503010	Med Humanities Bioethics	1026374
307010	Medicine	1000274
315010	P M & R	1042064
315010	P M & R	1031152
201010	Pathology	1032654
503010	Med Humanities Bioethics	1029137
320010	Surgery	1018220
502010	OME & Faculty Dev.	1015340
102010	Micro-Immunology	1001887
307110	Med-General Internal Med	1024706
310010	Ob/Gyn	1001514
310010	Ob/Gyn	1014824
202010	Preventive Medicine	1039131
104010	Physiology	1049467
315010	P M & R	1023778
320080	Surg-Transplant	1004070
310010	Ob/Gyn	1011587
316010	Pediatrics	1024471
313010	Orthopaedic Surgery	1009475
308010	Neurology	1050035
104010	Physiology	1050035
101010	CM Biology	1006495
310010	Ob/Gyn	1004422
502010	OME & Faculty Dev.	1019792
318010	Psychiatry	1002373
308010	Neurology	1002042
314010	Otolaryngology	1008367
202010	Preventive Medicine	1001109
320010	Surgery	1003916
202010	Preventive Medicine	1005446
307110	Med-General Internal Med	1037962
309010	Neurological Surgery	1036821
302010	Dermatology	1015102
101010	CM Biology	1041920
314010	Otolaryngology	1026925
307030	Med-Rheumatology	1003800
312010	Ophthalmology	1039936
307170	Med-Pulmonary	1012450
302010	Dermatology	1012450
309010	Neurological Surgery	1029164
406010	Buehler COA	1027428
602010	Kellogg	1027428
102010	Micro-Immunology	1021653
