DIVISION_ID	DV_ABBR	EMPLOYEE_ID
404010	IHS	1049458
202010	Preventive Medicine	1018012
102010	Micro-Immunology	1021673
303010	Emergency Med.	1005415
502010	OME & Faculty Dev.	1050367
320010	Surgery	1052551
314010	Otolaryngology	1052551
321010	Urology	1007018
316010	Pediatrics	1015104
320010	Surgery	1039271
201010	Pathology	1039479
101010	CM Biology	1027175
315010	P M & R	1044550
301010	Anesthesiology	1044550
320010	Surgery	1047091
317010	Physical Therapy	1005227
102010	Micro-Immunology	1012598
320010	Surgery	1012598
201010	Pathology	1001981
104010	Physiology	1001981
104010	Physiology	1052190
402010	Ctr for Genetic Medicine	1018009
320010	Surgery	1018009
320010	Surgery	1001402
103010	MPBC	1027443
315010	P M & R	1000787
503010	Med Humanities Bioethics	1026374
307010	Medicine	1000274
315010	P M & R	1042064
315010	P M & R	1031152
201010	Pathology	1032654
503010	Med Humanities Bioethics	1029137
320010	Surgery	1018220
502010	OME & Faculty Dev.	1015340
102010	Micro-Immunology	1001887
307010	Medicine	1024706
310010	Ob/Gyn	1001514
310010	Ob/Gyn	1014824
202010	Preventive Medicine	1039131
608010	WCAS	1049467
104010	Physiology	1049467
315010	P M & R	1023778
320010	Surgery	1004070
310010	Ob/Gyn	1011587
316010	Pediatrics	1024471
313010	Orthopaedic Surgery	1009475
308010	Neurology	1050035
104010	Physiology	1050035
101010	CM Biology	1006495
310010	Ob/Gyn	1004422
502010	OME & Faculty Dev.	1019792
318010	Psychiatry	1002373
308010	Neurology	1002042
314010	Otolaryngology	1008367
202010	Preventive Medicine	1001109
320010	Surgery	1003916
202010	Preventive Medicine	1005446
307010	Medicine	1037962
309010	Neurological Surgery	1036821
302010	Dermatology	1015102
101010	CM Biology	1041920
314010	Otolaryngology	1026925
307010	Medicine	1003800
312010	Ophthalmology	1039936
307010	Medicine	1012450
302010	Dermatology	1012450
309010	Neurological Surgery	1029164
406010	Buehler COA	1027428
102010	Micro-Immunology	1021653
319010	Radiology	1037814
307010	Medicine	1037814
202010	Preventive Medicine	1014614
307010	Medicine	1005814
202010	Preventive Medicine	1050075
314010	Otolaryngology	1018909
404010	IHS	1027416
202010	Preventive Medicine	1027416
315010	P M & R	1012759
314010	Otolaryngology	1017256
308010	Neurology	1030626
315010	P M & R	1026870
101010	CM Biology	1002526
307010	Medicine	1036119
317010	Physical Therapy	1006865
404010	IHS	1023189
307010	Medicine	1001531
202010	Preventive Medicine	1022425
302010	Dermatology	1024251
502010	OME & Faculty Dev.	1027212
307010	Medicine	1006058
316010	Pediatrics	1051165
202010	Preventive Medicine	1051165
316010	Pediatrics	1007900
315010	P M & R	1021990
318010	Psychiatry	1008614
102010	Micro-Immunology	1011618
308010	Neurology	1062189
309010	Neurological Surgery	1062189
317010	Physical Therapy	1002138
314010	Otolaryngology	1001632
312010	Ophthalmology	1017061
316010	Pediatrics	1008667
608010	WCAS	1000436
319010	Radiology	1001728
202010	Preventive Medicine	1000374
102010	Micro-Immunology	1012336
308010	Neurology	1022955
320010	Surgery	1030041
307010	Medicine	1004893
202010	Preventive Medicine	1042824
307010	Medicine	1006867
308010	Neurology	1050787
302010	Dermatology	1022881
309010	Neurological Surgery	1016113
301010	Anesthesiology	1019504
314010	Otolaryngology	1021274
316010	Pediatrics	1015812
316010	Pediatrics	1017034
316010	Pediatrics	1008445
101010	CM Biology	1004817
319510	Radiation Oncology	1006301
104010	Physiology	1006301
320010	Surgery	1019185
103010	MPBC	1044200
402010	Ctr for Genetic Medicine	1018461
201010	Pathology	1004676
607010	Communication	1010479
101010	CM Biology	1038768
308010	Neurology	1022576
316010	Pediatrics	1006447
102010	Micro-Immunology	1034656
307010	Medicine	1023922
312010	Ophthalmology	1003653
202010	Preventive Medicine	1018581
319010	Radiology	1036743
320010	Surgery	1036743
314010	Otolaryngology	1042976
315010	P M & R	1000734
313010	Orthopaedic Surgery	1050264
309010	Neurological Surgery	1003584
101010	CM Biology	1019365
307010	Medicine	1051610
201010	Pathology	1046251
316010	Pediatrics	1016524
316010	Pediatrics	1004916
310010	Ob/Gyn	1009541
308010	Neurology	1019528
202010	Preventive Medicine	1032810
316010	Pediatrics	1018007
402010	Ctr for Genetic Medicine	1050433
302010	Dermatology	1024807
309010	Neurological Surgery	1043621
202010	Preventive Medicine	1016756
202010	Preventive Medicine	1023591
315010	P M & R	1003883
104010	Physiology	1024039
402010	Ctr for Genetic Medicine	1009786
318010	Psychiatry	1021851
307010	Medicine	1026407
316010	Pediatrics	1007298
409010	NUIN	1032062
308010	Neurology	1019117
101010	CM Biology	1038505
201010	Pathology	1014980
307010	Medicine	1009562
502010	OME & Faculty Dev.	1039575
308010	Neurology	1023276
315010	P M & R	1029131
202010	Preventive Medicine	1007648
309010	Neurological Surgery	1001443
314010	Otolaryngology	1001443
104010	Physiology	1024510
320010	Surgery	1003403
314020	Otolaryn-Dental Surg	1003403
101010	CM Biology	1018167
308010	Neurology	1013789
320010	Surgery	1027156
307010	Medicine	1035946
320010	Surgery	1004646
608010	WCAS	1052935
103010	MPBC	1001574
502010	OME & Faculty Dev.	1001348
316010	Pediatrics	1011815
309010	Neurological Surgery	1010522
320010	Surgery	1011657
502010	OME & Faculty Dev.	1036989
320010	Surgery	1004377
309010	Neurological Surgery	1004377
404010	IHS	1052350
608010	WCAS	1042585
301010	Anesthesiology	1024642
320010	Surgery	1042263
101010	CM Biology	1027933
102010	Micro-Immunology	1046519
101010	CM Biology	1024281
608010	WCAS	1021467
309010	Neurological Surgery	1041107
319010	Radiology	1001774
318010	Psychiatry	1022800
309010	Neurological Surgery	1006593
307010	Medicine	1021982
404010	IHS	1021982
319010	Radiology	1037262
406010	Buehler COA	1004379
202010	Preventive Medicine	1034453
318010	Psychiatry	1011314
307010	Medicine	1016037
308010	Neurology	1011279
103010	MPBC	1000184
201010	Pathology	1008991
318010	Psychiatry	1033261
404010	IHS	1033261
307010	Medicine	1001139
101010	CM Biology	1006055
102010	Micro-Immunology	1018731
320010	Surgery	1002038
320010	Surgery	1067233
315010	P M & R	1022771
201010	Pathology	1017531
308010	Neurology	1036557
202010	Preventive Medicine	1047664
316010	Pediatrics	1007084
320010	Surgery	1007647
202010	Preventive Medicine	1026424
202010	Preventive Medicine	1033307
309010	Neurological Surgery	1004025
302010	Dermatology	1003444
318010	Psychiatry	1002639
202010	Preventive Medicine	1042563
102010	Micro-Immunology	1002554
404010	IHS	1001027
202010	Preventive Medicine	1001027
307020	Med-Allergy-Immunology	1003628
202010	Preventive Medicine	1041128
404010	IHS	1041128
406010	Buehler COA	1049388
316010	Pediatrics	1008625
316010	Pediatrics	1001864
310010	Ob/Gyn	1000450
202010	Preventive Medicine	1016762
315010	P M & R	1002205
202010	Preventive Medicine	1051094
503010	Med Humanities Bioethics	1017700
320010	Surgery	1026399
315010	P M & R	1002485
503010	Med Humanities Bioethics	1027248
404010	IHS	1009343
320010	Surgery	1007188
406010	Buehler COA	1005221
307010	Medicine	2103930
102010	Micro-Immunology	2179943
307010	Medicine	2179943
309010	Neurological Surgery	1037662
202010	Preventive Medicine	1055329
