last_name	first_name	search	department	Secondary_Institution_Name	AwardYear	Title	Sponsor_First	Sponsor_Last
Agus	Nicole		Albert Einstein College of Medicine		1998	Role of the Myc Antagonist Mxi in the development of Normal & Neoplastic Cells	Ronald	DePinho
Baird	Allison		Oregon Health & Science University	Vollum Institute	1998	Role of JAK3 at Multiple Stages of T Cell Maturation	Philip	Stork
Bardwell	Lee		University of California at Irvine		1998	Signaling by Protein Kinase Cascades	J. Lawrence	Marsh
Behrens	Timothy		University of Texas		1998	Regulation of Survival During B Cell Development by Bcl-x	FALSE	FALSE
Bresnick	Emery		University of Wisconsin at Madison		1998	Long-range Gene Regulation By The Human B-globin Locus Control Region		
Brill	Julie		Stanford University		1998	Ring Canal Assembly in the Male Germ Line	Margaret	Fuller
Chernoff	Jonathan		Fox Chase Cancer Center		1998	Role of p21-activated Kinase in Neoplastic Transformation	Robert	Young
Chi	Tianhuai		Stanford University	Howard Hughes Medical Institute	1998	Mammalian SWI/SNF Complex: Targets & Targeting	Gerald	Crabtree
Chou	Margaret		University of Pennsylvania		1998	"Unraveling Cdc42 Function: Dissection of the Signalling Pathways that Mediate its Mitogenic, Cytoskeletal & Transforming Effects"	Charles	Emerson
Conradt	Barbara		Max-Planck Society		1998	Analysis of a New Gene Required for Programmed Cell Death in C. Elegans	Yves-Alan	Barde
D'Souza-Schorey	Crislyn		University of Notre Dame		1998	Investigating the Role of the ARF6 GTpase in Ras-linked Signal Transduction	Francis	Castelino
Dai	Zonghan		University of Colorado Health Sciences Center		1998	Abl Interactor Proteins: Biochemical & Functional Analysis	Ian	McNeice
Dalal	Sorab		Dana Farber Cancer Institute		1998	Mechanisms of cdc25C Activation	James	DeCaprio
DeCaprio	James		Dana Farber Cancer Institute	Harvard Medical School	1998	"Viral-mediated Degradation of the Retinoblastoma-related Protein, p130"	James	Griffin
Ewen	Mark		Dana Farber Cancer Institute	Disease Center For Hematology	1998	Mitogenic Signal Transduction & The Cell Cycle	Mary	McElroy
Fogarty	Patrick		Stanford University		1998		FALSE	FALSE
Forsburg	Susan		Salk Institute for Biological Studies		1998	Regulation of Cellular DNA Synthesis by a Conserved Protein	FALSE	FALSE
Freeman	Brian		University of Illinois at Champaign-Urbana		1998	Role of Molecular Chaperones with intracellular receptors	Keith	Yamamoto
Fu	Xiang-Dong		University of California at San Diego		1998	Regulation of AML1 Alternative RNA Processing in Myelogenous Leukemia	FALSE	FALSE
Gaits	Frederique		Scripps Research Institute		1998	Double Strand Break-induced Chromosomal Translocations	FALSE	FALSE
