last_name	first_name	degree	username	description
Chenn	Anjen	"MD, PhD"	ach617	"<p>The major research interest of Dr. Chenn's lab is understanding the factors that control cell proliferation and differentiation in the developing mammalian central nervous system, particularly with regard to production and differentiation of neurons in the brain.  Understanding the control of cell division and the relationship between proliferation and differentiation has profound implications for the development and behavior of tumors in the central nervous system.  Although the mechanisms that regulate cell proliferation during neural development are poorly understood, data suggests that loss of normal cell polarity and tissue architecture play crucial regulatory roles in cell proliferation and cancer.  Research from the Chenn lab suggests that beta-catenin can regulate cell cycle re-entry and differentiation in the developing mammalian brain, as transgenic mice expressing a stabilized beta-catenin develop massively enlarged brains.  Loss of function studies indicate that beta catenin is required for cell proliferation in normal development and suggest that beta catenin misregulation may underlie tumor growth in the central nervous system. Dr. Chenn is a 2003 recipient of a V Foundation for Cancer Research grant for his work on ""Mechanisms of beta-Catenin in Cancer and Brain Development and a recipient of the Sontag Foundation Distinguished Scientist Award for brain cancer research.  Dr. Chenn is also a Searle Scholar has received funding from the American Cancer Society, Illinois and the NIH."
Gross	Adrian	MD	agr714	
Harris	Ann	PhD	aha385	
Schaeffer	Anthony	MD	ajs351	"<p>Dr. Schaeffer is the Chair of the Department of Urology.  He participates in the treatment of prostate cancer patients and he conducts research in role of bacterial adhesion in infection.  He has made major contributions to management of post-prostatectomy incontinence through implementation of a bulbo-urethral sling procedure. Urinary tract infections are the most frequent kidney/urologic diseases and a significant cause of morbidity and mortality in prostate cancer.  Currently, he directs a research project to elucidate the mechanism of inflammation and prostate carcinogenesis.  Recently, Dr. Schaeffer has initiated collaborations with Dr. Mirkin in developing nanotechnology-based diagnostics and therapeutics for urological diseases."
Buchman	Alan	"MD, MSPH"	alb635	
Matouschek	Andreas	PhD	ama189	"The Matouschek group investigates the molecular mechanisms of cellular processes that involve protein unfolding by using a combination of biochemical, cell biological, computational, and genetic methods, currently focusing on protein degradation by the proteasome.  The proteasome plays a central role in cellular regulation by controlling the concentrations of hundreds of regulatory proteins, removing misfolded proteins, and producing some peptides displayed in antigen presentation.  The immediate goal of the Matouschek lab is to understand how the unfolding step affects the specificity of the proteasome for its substrates and how it affects the nature of its degradation products.  The research has discovered a novel step in the substrate targeting mechanism and described previously unknown rules that contribute to the specificity of degradation of natural proteins.  The work has also identified a signal that leads to the proteasome degrading only part of a substrate protein in a process called processing.  The signal and the resulting processing explains key steps in the regulation of transcriptions NF_B and Cubitus interruptus.  The Matouschek lab is now characterizing the biochemical mechanism of processing and determining whether processing is a more widely used regulatory mechanism in the cell.  This work is relevant to cancer and many of the proteins degraded by the proteasome regulate cell growth and division.  Since proteins must be unfolded before they are cleaved by the proteasome, understanding unfolding during degradation may open new avenues to fight cancer, for example by stabilizing specific proteins against unfolding and degradation."
Minella	Alexander C	MD	ama702	
Evens	Andrew	"DO, MS"	ame340	"<p>Dr. Evens' research interests focus on the development and study of novel experimental therapies for non-Hodgkin's lymphoma and Hodgkin's disease. His laboratory and clinical investigations have included research of free radical-mediated biology and cytotoxicity and the study of cell death pathways in hematologic malignancies. He is currently collaborating with several institutions regarding pre-clinical and clinical studies involving the novel redox-mediating metalloporphyrin, motexafin gadolinium (MGd), in hematologic malignancies. Dr. Evens is involved in a variety of other institutional (investigator-initiated) and national clinical trials in lymphoma. He is a member of the lymphoma core committee of the Eastern Cooperative Oncology Group. Dr. Evens also serves as Associate Director of the Hematology/Oncology Fellowship Training Program at Northwestern University Feinberg School of Medicine.  Dr. Evens is the recipient of a K23 award from the National Cancer Institute to study the novel agent MGd to target mitochondria, perturb the cellular redox system and induce apoptosis for the treatment of lymphoma and myeloma.  In ECOG, he serves as the principal investigator for an ongoing trial in transformed lymphoma."
Gonzalez	Annette	PhD	amg513	"<p>The establishment of new blood vessels, a process known as angiogenesis, promotes tumor progression by providing tumor cells the necessary nutrients and signals for survival. Dr. Gonzalez's work has provided support for the notion that the alpha4 laminin subunit (a4LN), a component of the basement membrane secreted by endothelial cells, is crucial for blood vessel development through a novel interaction with alphavbeta3 integrin. Moreover, she has found that that there is crosstalk between alpha1 containing integrins and the alphavbeta3 integrin heterodimer in endothelial cells and that such crosstalk regulates the affinity of alphavbeta3 integrin for the a4LN subunit while a PKA inhibitor abrogates the crosstalk. The laboratory is currently examining the molecular mechanisms regulating the affinity of alphavbeta3 integrin for the a4LN subunit, and will determine whether specific serine/threonine phosphorylation events on the cytoplasmic tails of alphavbeta3 integrin negatively regulate the affinity of alphavbeta3 integrin for a4LN. The laboratory also studies the role of apoptosis in tube-like network assembly of endothelial cells. Together these studies will provide new insight into the molecular mechanisms that regulate angiogenesis and, long term, may uncover useful reagents that can block tumor development by inhibiting their ability to develop a vasculature."
Anderson	Wayne F.	PhD	anderw	"<p>As one of the members of the NIH funded Midwest Center for Structural Genomics, the Anderson lab is involved in developing methods for high-throughput structure determination and in the application of these methods to the determination of increasingly challenging macromolecular structures. One product of the NIH Protein Structure Initiative is a dramatic expansion of the protein structure database. Areas of interest include molecular mechanisms of metabolic regulation, the structural basis of the regulation of gene expression, and the prevention and repair of DNA damage, all of which are relevant to cancer biology. The structures of proteins that are potential drug targets and their complexes with small molecule ligands now play an important role as an aid in drug discovery. Methodology for high throughput structure determination and the characterization of protein-ligand complexes will make X-ray crystallography an increasingly useful tool for drug discovery. An important related activity is the development of facilities that will be available for Northwestern investigators to carry out structural studies at the Advanced Photon Source synchrotron at Argonne National Laboratory."
