APPOINT_FLAG	CENTER_FLAG	DEPARTMENT_ID	DIVISION_ID	ABBREVIATION	NAME	TYPE
1	1	401000	401010	Lurie Cancer Center	Robert H. Lurie Comprehensive Cancer Center	Clinical
0	0	401000	2	TIMA	"Tumor Invasion, Metastasis & Angiogenesis"	Basic
0	0	401000	3	HAST	Hormone Action & Signal Transduction in Cancer	Basic
0	0	401000	4	CPS	Cancer and Physical Sciences	Basic
0	0	401000	5	CCB	Cancer Cell Biology	Basic
0	0	401000	6	WC	Women's Cancer	Clinical
0	0	401000	7	STI	Solid Tumors Investigations	Clinical
0	0	7	71	STI-AD	STI-Aerodigestive Cancers	Clinical
0	0	7	72	STI-GI	STI-Gastrointestinal Cancers	Clinical
0	0	7	73	STI-Neuro	STI-Neuro Oncology/Glioblastoma	Clinical
0	0	7	74	STI-GU	STI-Prostate/Genitourinary Cancers	Clinical
0	0	7	75	STI-SC	STI-Skin Cancers	Clinical
0	0	7	76	STI-NOA	STI-Not Otherwise Assigned	Clinical
0	0	401000	8	HM	Hematologic Malignancies	Clinical
0	0	401000	9	CP	Cancer Prevention	Prevention
0	0	401000	10	CC	Cancer Control	Prevention
0	0	401000	11	ZY	Non-Programmatically Aligned	ZY
