APPOINT_FLAG	CENTER_FLAG	DEPT_ID	DIVISION_ID	ABBREVIATION	NAME	TYPE
1	1	401000	401010	Stanford Cancer Institute	Stanford Cancer Institute	Clinical
0	0	401000	401020	CB	Cancer Biology	Basic
0	0	401000	401030	RB	Radiation Biology	Basic
0	0	401000	401040	CSC	Cancer Stem Cells	Basic
0	0	401000	401050	CIED	Cancer Imaging and Detection	Clinical
0	0	401000	401060	TO	Translational Oncology	Clinical
0	0	401000	401070	LH	Lymphoma	Clinical
0	0	401000	401080	ITC	Immunotherapy of Cancer	Clinical
0	0	401000	401100	CE	Cancer Epidemiology	Prevention
0	0	401000	401110	CPC	Cancer Prevention and Control	Prevention
0	0	401000	401120	ZY	Non-Aligned	ZY
