APPOINT_FLAG	CENTER_FLAG	DEPT_ID	DIVISION_ID	DV_ABBR	DV_CAMPUS_ID	DV_LOCATION_ID	DV_NAME	DV_PHONE	DV_ROOM_NUMBER	DV_TYPE	DV_URL	LABEL_NAME	SAU_ID	SEARCH_NAME
1	1	401000	401010	Stanford Cancer Center	1	107	Stanford Cancer Center	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	Stanford Cancer Center	444400	Stanford Cancer Center
0	0	401000	401020	CB	1	107	Cancer Biology	312/908-5250	8250	Basic	http://www.cancer.northwestern.edu/	Cancer Biology		Cancer Biology
0	0	401000	401030	RB	1	107	Radiation Biology	312/908-5250	8250	Basic	http://www.cancer.northwestern.edu/	Radiation Biology		Radiation Biology
0	0	401000	401040	CSC	1	107	Cancer Stem Cell	312/908-5250	8250	Basic	http://www.cancer.northwestern.edu/	Cancer Stem Cell		Cancer Stem Cell
0	0	401000	401050	CIED	1	107	Cancer Imaging and Early Detection	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	Cancer Imaging		Cancer Imaging and Early Detection
0	0	401000	401060	MT	1	107	Molecular Therapeutics	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	Molecular Therapeutics		Molecular Therapeutics
0	0	401000	401070	LH	1	107	Lymphoma Hodgkins	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	Lymphoma		Lymphoma Hodgkins
0	0	401000	401080	II	1	107	Immunology Immunotherapy	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	Immunology Immunotherapy		Immunology Immunotherapy
0	0	401000	401090	HCT	1	107	HCT and Immune Reconstruction	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	HCT and Immune Reconstruction		HCT and Immune Reconstruction
0	0	401000	401100	CE	1	107	Cancer Epidemiology	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	Cancer Epidemiology		Cancer Epidemiology
0	0	401000	401110	CPC	1	107	Cancer Prevention and Control	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	Cancer Prevention and Control		Cancer Prevention and Control
0	0	401000	401120	ZY	1	107	Non-Aligned	312/908-5250	8250	ZY	http://www.cancer.northwestern.edu/	ZY		Non-Aligned
0	0	401000	401130	Associate	1	107	Associate Members	312/908-5250	8250	ZY	http://www.cancer.northwestern.edu/	Associate		Associate Members
0	0	401000	401140	CL	1	107	Core Leader	312/908-5250	8250	ZY	http://www.cancer.northwestern.edu/	CL		Core Leader
