APPOINT_FLAG	CENTER_FLAG	DEPT_ID	DIVISION_ID	DV_ABBR	DV_NAME	DV_TYPE
1	1	401000	10	Diller Cancer Center	Diller Family Comprehensive Cancer Center	Clinical
0	0	401000	20	BR	Breast Oncology	Clinical
0	0	401000	30	CI	Cancer and Immunity	Basic
0	0	401000	220	CD	Cancer Disparities	Control
0	0	401000	40	CG	Cancer Genetics	Basic
0	0	401000	100	DT	Developmental Therapeutics	Clinical
0	0	401000	110	HE	Hematopoietic Malignancies	Clinical
0	0	401000	120	NE	Neurologic Oncology	Clinical
0	0	401000	140	PE	Pediatric Malignancies	Clinical
0	0	401000	150	PR	Prostate Cancer	Clinical
0	0	401000	210	TO	Tobacco Control	Control
0	0	401000	300	ZY	Non-Programmatically Aligned	ZY
