DEPT_ID	DIVISION_ID	DV_ABBR	EMPLOYEE_ID
413000	413010	CMRC	1001753
402000	402010	Ctr for Genetic Medicine	1002417
305000	305010	Feinberg Cardio Rsch	1013321
409000	409010	NUIN	1012755
404000	404010	IHS	1012755
403000	403010	CNADC	1018864
409000	409010	NUIN	1018864
401000	401010	Lurie Cancer Center	1003390
307000	307060	Med-Health Care Studies	1003390
401000	401010	Lurie Cancer Center	1001725
406000	406010	Buehler COA	1041506
403000	403010	CNADC	1020738
401000	401010	Lurie Cancer Center	1020947
409000	409010	NUIN	1049781
403000	403010	CNADC	1049781
403000	403010	CNADC	1018729
409000	409010	NUIN	1018729
422000	422010	NCCO	1018012
420000	420010	NUCATS	1018012
413000	413010	CMRC	1018012

