APPT_ENTITY_ABBR	APPT_ENTITY_CHAIR_FACULTY_ID	APPT_ENTITY_ID	APPT_ENTITY_NAME	APPT_ENTITY_SCHOOL
Feinberg		600000	Feinberg School of Medicine	Feinberg
Dental School		601000	Dental School	Dental
Kellogg		602000	Kellogg School of Management	Kellogg
Law School		603000	School of Law	Law
Medill		604000	Medill School of Journalism	Medill
MEAS		605000	McCormick School of Engineering	MEAS
SESP		606000	School of Education and Social Policy	SESP
Communication		607000	School of Communication	Communication
WCAS		608000	Weinberg College of Arts and Sciences	WCAS
SCS		609000	School of Continuing Studies	SCS
Provost's Office		610000	Provost's Office	Provost's Office
CM Biology	601894	101000	Cell and Molecular Biology	Feinberg
Micro-Immunology	603022	102000	Microbiology-Immunology	Feinberg
MPBC	605063	103000	Molecular Pharmacology and Biological Chemistry	Feinberg
Physiology	605395	104000	Physiology	Feinberg
Pathology	607695	201000	Pathology	Feinberg
Preventive Medicine	605649	202000	Preventive Medicine	Feinberg
Anesthesiology	605314	301000	Anesthesiology	Feinberg
Dermatology	604139	302000	Dermatology	Feinberg
Emergency Medicine	600016	303000	Emergency Medicine	Feinberg
Family & Community Med	607149	304000	Family and Community Medicine	Feinberg
Feinberg Cardio Rsch	607417	305000	Feinberg Cardiovascular Research Institute	Feinberg
Medicine	608119	307000	Medicine	Feinberg
Neurology	602761	308000	Ken and Ruth Davee Department of Neurology	Feinberg
Neurological Surgery	600272	309000	Neurological Surgery	Feinberg
Ob/Gyn	606237	310000	Obstetrics and Gynecology	Feinberg
OCRT		311000	Office of Clinical Research and Training	Feinberg
Ophthalmology	602530	312000	Ophthalmology	Feinberg
Orthopaedic Surgery	604831	313000	Orthopaedic Surgery	Feinberg
Otolaryngology	602752	314000	Otolaryngology - Head and Neck Surgery	Feinberg
P M & R	604676	315000	Physical Medicine and Rehabilitation	Feinberg
Pediatrics	602011	316000	Pediatrics	Feinberg
Physical Therapy	601227	317000	Physical Therapy and Human Movement Sciences	Feinberg
Psychiatry	608025	318000	Psychiatry and Behavioral Sciences	Feinberg
Radiology	604722	319000	Radiology	Feinberg
Radiation Oncology	603765	319500	Radiation Oncology	Feinberg
Surgery	606501	320000	Surgery	Feinberg
Urology	604830	321000	Urology	Feinberg
Medical Social Sciences	600776	323000	Medical Social Sciences	Feinberg
Lurie Cancer Center	604638	401000	Robert H. Lurie Comprehensive Cancer Center	Feinberg
Ctr for Genetic Medicine	602909	402000	Center for Genetic Medicine	Feinberg
CNADC	603665	403000	Cognitive Neurology and Alzheimer's Disease Center	Feinberg
IHS	602357	404000	Institute for Healthcare Studies	Feinberg
Buehler COA	601424	406000	Buehler Center on Aging	Feinberg
NUIN	603849	409000	Northwestern University Institute of Neuroscience (NUIN)	Feinberg
IBNAM	605354	410000	Institute for Bioengineering and Nanoscience in Advanced Medicine (IBNAM)	Feinberg
Asher Center	608025	411000	Asher Center for the Study and Treatment of Depressive Orders	Feinberg
NUCATS	602019	420000	Northwestern University Clinical and Translational Sciences Institute (NUCATS)	Feinberg
Inst. Women's Health Rsch	605984	421000	The Institute for Women's Health Research	Feinberg
FSM Admin		501000	FSM Administration	Feinberg
OME & Faculty Dev.	601079	502000	Medical Education and Faculty Development	Feinberg
Med Humanities Bioethics	603799	503000	Medical Humanities and Bioethics	Feinberg
Administration	601079	504000	Administration	Feinberg
Anthropology		608100	Anthropology	WCAS
