Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AAPS PHARMSCITECH;1530-9932;1078;1.445;;0.090;167;4.0;0.00355;;
ACCREDIT QUAL ASSUR;0949-1775;473;0.781;0.602;0.275;80;4.6;0.00118;0.117;
ACS CHEM BIOL;1554-8929;867;5.149;5.149;1.351;77;1.8;0.00713;2.174;
ACS NANO;1936-0851;703;5.472;5.472;1.389;296;0.9;0.00214;1.823;
ACTA ALIMENT HUNG;0139-3006;319;0.441;0.534;0.000;43;8.4;0.00046;0.096;
ACTA ANAESTH SCAND;0001-5172;4842;1.953;1.901;0.503;199;7.1;0.01055;0.458;
ACTA BIOCH BIOPH SIN;1672-9145;825;1.086;0.937;0.163;123;3.8;0.00343;0.228;
ACTA BIOCHIM POL;0001-527X;1655;1.448;1.890;0.237;93;5.4;0.00650;0.568;
ACTA BIOL CRACOV BOT;0001-5296;142;0.351;0.492;0.000;13;5.0;0.00051;0.126;
ACTA BIOL HUNG;0236-5383;371;0.619;0.692;0.067;75;8.2;0.00089;0.188;
ACTA BIOTHEOR;0001-5342;423;0.735;0.862;0.056;18;>10.0;0.00099;0.476;
ACTA BOT GALLICA;1253-8078;125;0.145;0.224;0.020;49;>10.0;0.00030;0.069;
ACTA CHIR BELG;0001-5458;729;0.474;0.554;0.060;167;5.1;0.00228;0.138;
ACTA CHIROPTEROL;1508-1109;290;0.825;1.089;0.026;38;4.8;0.00140;0.350;
ACTA CHROMATOGR;1233-2356;162;0.621;0.826;0.111;54;3.5;0.00072;0.209;
ACTA CRYSTALLOGR D;0907-4449;9365;2.943;1.827;0.581;148;9.7;0.03266;0.975;
ACTA CRYSTALLOGR F;1744-3091;586;0.606;;0.195;293;2.3;0.00553;;
ACTA CYTOL;0001-5547;2713;0.835;0.903;0.093;118;>10.0;0.00294;0.204;
ACTA DERM-VENEREOL;0001-5555;3545;2.456;2.254;0.284;74;>10.0;0.00456;0.579;
ACTA ENDOSC;0240-642X;62;0.074;;0.028;72;;0.00004;;
ACTA ETHOL;0873-9749;174;0.667;;0.071;14;6.4;0.00055;;
ACTA HAEMATOL-BASEL;0001-5792;1582;1.191;1.198;0.061;82;9.2;0.00333;0.362;
ACTA HISTOCHEM CYTOC;0044-5991;221;0.857;0.482;0.048;21;8.5;0.00052;0.122;
ACTA HISTOCHEM;0065-1281;719;1.101;1.154;0.298;57;6.9;0.00157;0.278;
ACTA NEUROBIOL EXP;0065-1400;622;1.091;1.345;0.212;52;6.7;0.00164;0.359;
ACTA NEUROCHIR;0001-6268;5219;1.634;1.726;0.148;176;>10.0;0.00891;0.470;
ACTA NEUROL BELG;0300-9009;391;0.770;0.703;0.000;34;9.0;0.00073;0.180;
ACTA NEUROL SCAND;0001-6314;5485;2.317;2.390;0.452;135;9.9;0.01118;0.686;
ACTA NEUROPATHOL;0001-6322;7726;5.310;3.787;1.672;119;8.9;0.01833;1.196;
ACTA NEUROPSYCHIATR;0924-2708;237;1.380;1.053;0.290;62;2.8;0.00072;0.189;
