Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
4OR-Q J OPER RES;1619-4500;130;0.750;;0.000;31;4.2;0.00124;;
AAPS J;1550-7416;1361;3.540;4.599;0.553;76;3.5;0.00784;1.327;
AAPS PHARMSCITECH;1530-9932;1375;1.190;1.814;0.172;174;4.5;0.00423;0.394;
AATCC REV;1532-8813;261;0.293;0.352;0.000;48;6.4;0.00063;0.097;
ABDOM IMAGING;0942-8925;2314;1.791;1.794;0.337;98;6.4;0.00590;0.486;
ABSTR APPL ANAL;1085-3375;506;2.221;;0.369;84;2.9;0.00376;;
ACAD EMERG MED;1069-6563;4646;2.478;2.485;0.541;194;5.8;0.01524;0.792;
ACAD MED;1040-2446;6785;2.338;2.861;0.616;164;7.2;0.01896;0.973;
ACAD RADIOL;1076-6332;2958;2.092;1.950;0.337;181;5.3;0.01092;0.635;
ACCOUNTS CHEM RES;0001-4842;30727;18.203;18.439;2.826;190;7.8;0.08241;6.387;
ACCREDIT QUAL ASSUR;0949-1775;550;0.760;0.656;0.205;73;5.4;0.00141;0.152;
ACI MATER J;0889-325X;1961;0.896;1.088;0.183;60;>10.0;0.00467;0.731;
ACI STRUCT J;0889-3241;1859;0.874;1.197;0.202;84;>10.0;0.00675;0.787;
ACM COMPUT SURV;0360-0300;3640;7.667;12.700;0.842;19;9.6;0.00538;4.312;
ACM J EMERG TECH COM;1550-4832;72;0.758;;0.059;17;;0.00073;;
ACM SIGPLAN NOTICES;0362-1340;1036;0.280;0.289;0.000;251;9.4;0.00249;0.111;
ACM T APPL PERCEPT;1544-3558;204;1.447;;0.536;28;3.8;0.00130;;
ACM T ARCHIT CODE OP;1544-3566;101;0.595;;0.000;12;4.4;0.00123;;
ACM T AUTON ADAP SYS;1556-4665;114;1.364;2.707;0.143;21;3.1;0.00076;0.892;
ACM T COMPUT LOG;1529-3785;404;1.212;;0.486;35;4.8;0.00224;;
ACM T COMPUT SYST;0734-2071;1128;2.381;3.291;0.000;8;>10.0;0.00165;1.444;
ACM T COMPUT-HUM INT;1073-0516;875;1.194;;0.100;20;9.2;0.00129;;
ACM T DATABASE SYST;0362-5915;1463;1.245;3.290;0.083;24;>10.0;0.00421;1.467;
ACM T DES AUTOMAT EL;1084-4309;370;0.685;0.918;0.016;63;5.8;0.00187;0.434;
ACM T EMBED COMPUT S;1539-9087;359;1.099;;0.114;35;5.0;0.00243;;
